release_date,title,budget,revenue
1915-02-08,The Birth of a Nation,0.1,11.0
1915-12-13,The Cheat,0.017311,0.137365
1916-12-24,"20,000 Leagues Under the Sea",0.2,8.0
1918-08-01,Mickey,0.25,8.0
1921-01-21,The Kid,0.25,2.5
1922-01-11,Foolish Wives,1.1,0.4002
1924-03-18,The Thief of Bagdad,1.135654,1.21388
1925-06-25,The Gold Rush,0.923,2.5
1925-08-26,The Merry Widow,0.000592,1e-06
1925-09-16,The Unholy Three,0.103,0.704
1925-11-05,The Big Parade,0.245,22.0
1925-12-30,Ben-Hur: A Tale of the Christ,3.9,9.0
1926-05-14,Sparrows,0.463455,0.966878
1926-12-25,Flesh and the Devil,0.373,0.658
1927-01-10,Metropolis,92.62,0.650422
1927-10-31,My Best Girl,0.483103,1.027757
1928-04-07,Across to Singapore,0.29,0.596
1928-07-18,Lights of New York,0.075,1.2
1928-08-04,The Mysterious Lady,0.000337,0.000551
1928-11-24,West of Zanzibar,0.259,0.921
1929-02-08,The Broadway Melody,0.379,4.358
1930-11-15,Hell's Angels,3.95,8.0
1931-01-30,City Lights,1.5,0.019181
1931-02-12,Dracula,0.355,1.012189
1931-11-21,Frankenstein,0.291,12.0
1931-12-26,Mata Hari,0.558,2.227
1932-05-25,Grand Hotel,0.7,2.594
1932-12-08,A Farewell to Arms,4e-06,2.5e-05
1932-12-08,A Farewell to Arms,4e-06,2.5e-05
1933-02-02,42nd Street,0.439,2.281
1933-02-08,Cavalcade,1.18028,7.63
1933-02-09,She Done Him Wrong,0.2,2.2
1933-04-07,King Kong,0.672,10.0
1933-10-06,I'm No Angel,0.225,2.85
1933-12-26,Queen Christina,1.114,2.61
1934-02-22,It Happened One Night,0.325,4.5
1934-05-25,The Thin Man,0.226408,1.423
1934-11-23,The Painted Veil,0.947,1.12
1935-04-19,Star of Midnight,0.00028,0.000831
1935-05-09,The Informer,0.243,0.95
1935-08-30,Anna Karenina,1.152,1.439
1935-09-06,Top Hat,0.609,3.202
1935-11-08,Mutiny on the Bounty,1.95,4.46
1936-02-05,Modern Times,1e-06,8.5
1936-06-26,San Francisco,1.3,5.273
1936-08-27,Swing Time,0.886,2.6
1936-08-28,Mary of Scotland,0.864,1.276
1936-08-28,The Gorgeous Hussy,1.119,2.019
1936-10-20,The Charge of the Light Brigade,1.2,2.736
1937-12-20,Snow White and the Seven Dwarfs,1.488423,184.925486
1938-05-13,The Adventures of Robin Hood,2.033,3.981
1938-05-24,Alexander's Ragtime Band,2.0,4.0
1938-08-23,You Can't Take It With You,1.644736,7.433101
1939-01-01,The Women,1.688,2.27
1939-03-02,Stagecoach,0.531374,1.103757
1939-08-15,The Wizard of Oz,2.777,33.754967
1939-10-06,Ninotchka,1.365,2.279
1939-10-19,Mr. Smith Goes to Washington,1.5,9.6
1939-12-15,Gone with the Wind,4.0,400.176459
1940-02-23,Pinocchio,2.6,84.3
1940-04-12,Rebecca,1.288,6.0
