ticker,companyName,numOfInsiders,transactionTotal
SEZL,SEZZLE INC,9,1061223.0
TSBX,TURNSTONE BIOLOGICS CORP,10,15399984.0
APGE,APOGEE THERAPEUTICS INC,4,79749992.0
KGS,KODIAK GAS SERVICES INC,16,1237956.0
AZTR,AZITRA INC,12,6000000.0
NVCT,NUVECTIS PHARMA INC,32,3613163.0
EXFY,EXPENSIFY INC,13,8262279.0
IOBT,IO BIOTECH INC,4,24898758.0
TSVT,2SEVENTY BIO INC,12,7128628.0
RBT,RUBICON TECHNOLOGIES INC,11,13318400.0
THRX,THESEUS PHARMACEUTICALS INC,6,5006584.0
TYGO,TIGO ENERGY INC,3,2892411.0
WEST,WESTROCK COFFEE CO,10,50488083.0
FYBR,FRONTIER COMMUNICATIONS PARENT INC,20,19533090.0
XPOF,XPONENTIAL FITNESS INC,8,1332656.0
DSGN,DESIGN THERAPEUTICS INC,4,19401322.0
GROV,GROVE COLLABORATIVE HOLDINGS INC,3,10021304.0
BVS,BIOVENTUS INC,12,4092317.0
PIII,P3 HEALTH PARTNERS INC,10,1641780.0
BTTX,BETTER THERAPEUTICS INC,6,1765240.0
SPRY,ARS PHARMACEUTICALS INC,3,29450000.0
GRND,GRINDR INC,7,1055350.0
CMRA,COMERA LIFE SCIENCES HOLDINGS INC,7,2373654.0
MLTX,MOONLAKE IMMUNOTHERAPEUTICS,28,60535012.0
SKIN,BEAUTY HEALTH CO,7,1348219.0
ASAN,ASANA INC,39,67303988.0
TSHA,TAYSHA GENE THERAPIES INC,5,16020000.0
BURU,NUBURU INC,6,8982558.0
INZY,INOZYME PHARMA INC,4,7999996.0
RPRX,ROYALTY PHARMA PLC,3,6796695.0
TMC,TMC THE METALS CO INC,3,10500000.0
CMTL,COMTECH TELECOMMUNICATIONS CORP,8,1033211.0
XOM,EXXON MOBIL CORP,8,69409514.0
GLT,GLATFELTER CORP,5,1084465.0
IHT,INNSUITES HOSPITALITY TRUST,6,10831130.0
TPL,TEXAS PACIFIC LAND CORP,371,1818375.0
TDW,TIDEWATER INC,5,10560975.0
BUSE,FIRST BUSEY CORP,18,1057000.0
CVBF,CVB FINANCIAL CORP,5,5040005.0
GABC,GERMAN AMERICAN BANCORP INC,29,1320967.0
STAA,STAAR SURGICAL CO,7,7966379.0
CDZI,CADIZ INC,6,1307982.0
ERNA,ETERNA THERAPEUTICS INC,8,8579993.0
NEE,NEXTERA ENERGY INC,6,1960887.0
OXY,OCCIDENTAL PETROLEUM CORP,3,122103822.0
HTLD,HEARTLAND EXPRESS INC,15,5459581.0
DGICA,DONEGAL GROUP INC,35,7453412.0
DCOM,DIME COMMUNITY BANCSHARES INC,5,5002716.0
AZO,AUTOZONE INC,4,1145566.0
SRPT,SAREPTA THERAPEUTICS INC,6,7352768.0
AES,AES CORP,5,1240288.0
ZBRA,ZEBRA TECHNOLOGIES CORP,6,1763043.0
FWRD,FORWARD AIR CORP,14,2280813.0
ADC,AGREE REALTY CORP,10,4561021.0
MPAA,MOTORCAR PARTS OF AMERICA INC,6,1090644.0
OPK,OPKO HEALTH INC,33,1683813.0
OPCH,OPTION CARE HEALTH INC,3,2041544.0
MRCY,MERCURY SYSTEMS INC,4,4329989.0
SSKN,STRATA SKIN SCIENCES INC,4,1061348.0
DHC,DIVERSIFIED HEALTHCARE TRUST,3,17936921.0
TCBI,TEXAS CAPITAL BANCSHARES INC,9,1021370.0
CHTR,CHARTER COMMUNICATIONS INC,4,1036874874.0
CVGW,CALAVO GROWERS INC,3,2336680.0
SVRA,SAVARA INC,11,10019035.0
RRGB,RED ROBIN GOURMET BURGERS INC,6,2579203.0
SAFT,SAFETY INSURANCE GROUP INC,3,3304450.0
MMLP,MARTIN MIDSTREAM PARTNERS LP,25,1012920.0
MODV,MODIVCARE INC,7,15578213.0
UTI,UNIVERSAL TECHNICAL INSTITUTE INC,3,2052138.0
MACK,MERRIMACK PHARMACEUTICALS INC,6,2708695.0
ET,ENERGY TRANSFER LP,6,40394000.0
MKTX,MARKETAXESS HOLDINGS INC,6,1018059.0
THS,TREEHOUSE FOODS INC,3,6913555.0
EGLE,EAGLE BULK SHIPPING INC,6,8642787.0
WDAY,WORKDAY INC,5,2086091.0
CROX,CROCS INC,8,2029003.0
PGEN,PRECIGEN INC,6,2443716.0
GSAT,GLOBALSTAR INC,3,12486280.0
SLRC,SLR INVESTMENT CORP,8,1720508.0
KDP,KEURIG DR PEPPER INC,3,1846342.0
RILY,B RILEY FINANCIAL INC,10,11017680.0
HHH,HOWARD HUGHES HOLDINGS INC,14,8677257.0
RM,REGIONAL MANAGEMENT CORP,6,1041645.0
SFBC,SOUND FINANCIAL BANCORP INC,19,1073995.0
FWONA,LIBERTY MEDIA CORP,4,5018644.0
MRTX,MIRATI THERAPEUTICS INC,5,70298888.0
LOCO,EL POLLO LOCO HOLDINGS INC,5,3446917.0
JYNT,JOINT CORP,25,10239970.0
SCTL,SOCIETAL CDMO INC,11,2718111.0
NLTX,NEOLEUKIN THERAPEUTICS INC,12,1463724.0
WLKP,WESTLAKE CHEMICAL PARTNERS LP,9,1050303.0
RMCF,ROCKY MOUNTAIN CHOCOLATE FACTORY INC,52,2774628.0
APPF,APPFOLIO INC,9,5793029.0
AVTX,AVALO THERAPEUTICS INC,10,1140455.0
SPB,SPECTRUM BRANDS HOLDINGS INC,4,1276452.0
CODI,COMPASS DIVERSIFIED HOLDINGS,3,1320025.0
PI,IMPINJ INC,9,66761798.0
FBK,FB FINANCIAL CORP,11,1813922.0
