ticker,name,famaindustry,sector,firstadded,scalemarketcap,peers
DBD,DIEBOLD NIXDORF INC,Computers,Technology,2023-08-14,,"['IMMR', 'IVAC', 'HEAR', 'QMCO', 'ALOT', 'TACT', 'OSS', 'MOVE', 'AAPL']"
MSGE,MADISON SQUARE GARDEN ENTERTAINMENT CORP,Entertainment,Consumer Cyclical,2023-04-21,4 - Mid,"['ROKU', 'WWE', 'MSGS', 'AMC', 'CNK', 'SEAT', 'MCS', 'RSVR', 'DIS']"
CR,CRANE CO,Construction Materials,Industrials,2023-04-04,4 - Mid,"['AQUA', 'TKR', 'WTS', 'GTLS', 'FLS', 'FELE', 'MLI', 'AIMC', 'ITW']"
CVKD,CADRENAL THERAPEUTICS INC,Pharmaceutical Products,Healthcare,2023-01-20,1 - Nano,"['ACUS', 'SYNI', 'JNJ']"
VTS,VITESSE ENERGY INC,Petroleum and Natural Gas,Energy,2023-01-17,3 - Small,"['REPX', 'SBOW', 'SD', 'EGY', 'REI', 'GDP', 'COP']"
MGOL,MGO GLOBAL INC,Apparel,Communication Services,2023-01-13,1 - Nano,['SQBGQ']
AMLI,AMERICAN LITHIUM CORP,Non-Metallic and Industrial Metal Mining,Basic Materials,2023-01-10,3 - Small,['TECK']
GEHC,GE HEALTHCARE TECHNOLOGIES INC,Medical Equipment,Healthcare,2023-01-04,5 - Large,"['BDX', 'BSX', 'EW', 'DXCM', 'IDXX', 'RMD', 'ZBH', 'PODD', 'BAX', 'ABT']"
COYA,COYA THERAPEUTICS INC,Pharmaceutical Products,Healthcare,2022-12-29,2 - Micro,"['ASMB', 'AVRO', 'XGN', 'ALGS', 'NXTC', 'IMUC', 'SLS', 'CADL', 'LPTX']"
LIPO,LIPELLA PHARMACEUTICALS INC,Pharmaceutical Products,Healthcare,2022-12-21,1 - Nano,"['APRE', 'PSTV', 'ARDS', 'BLPH', 'DFFN', 'CRBP', 'CYCC', 'NERV']"
MBC,MASTERBRAND INC,Consumer Goods,Consumer Cyclical,2022-12-17,3 - Small,"['CSWI', 'GFF', 'DOOR', 'ROCK', 'JBI', 'PGTI', 'JELD', 'APOG', 'AZZ', 'CARR']"
RAYA,ERAYAK POWER SOLUTION GROUP INC,Electrical Equipment,Industrials,2022-12-14,1 - Nano,['CBAT']
BAM,BROOKFIELD ASSET MANAGEMENT LTD,Trading,Financial Services,2022-12-14,5 - Large,['BN']
JEWL,ADAMAS ONE CORP,Consumer Goods,Consumer Cyclical,2022-12-09,2 - Micro,"['ATLX', 'AUMN']"
FG,F&G ANNUITIES & LIFE INC,Insurance,Financial Services,2022-12-01,4 - Mid,"['LNC', 'BHF', 'AEL', 'GNW', 'CNO', 'TRUP', 'NWLI', 'OSCR', 'IHC', 'MET']"
DRS,LEONARDO DRS INC,Electronic Equipment,Industrials,2022-11-29,4 - Mid,"['BWXT', 'PSN', 'AJRD', 'MAXR', 'SPR', 'MOG.A', 'MRCY', 'AVAV', 'RKLB', 'RTX']"
CMND,CLEARMIND MEDICINE INC,Pharmaceutical Products,Healthcare,2022-11-16,1 - Nano,['INM']
ATAT,ATOUR LIFESTYLE HOLDINGS LTD,Restaraunts Hotels Motels,Consumer Cyclical,2022-11-16,4 - Mid,['GHG']
ACRV,ACRIVON THERAPEUTICS INC,Pharmaceutical Products,Healthcare,2022-11-16,2 - Micro,"['STOK', 'ICVX', 'ACET', 'PMVP', 'STRO', 'INO', 'VERA', 'ORGO', 'RCEL']"
SNAL,SNAIL INC,Business Services,Communication Services,2022-11-10,2 - Micro,"['MYPS', 'SKLZ', 'GMGI', 'MSGM', 'ATVI']"
ASPI,ASP ISOTOPES INC,Chemicals,Basic Materials,2022-11-10,2 - Micro,"['NTIC', 'FTK', 'NANX', 'ADES', 'TORM', 'SHW']"
RXO,RXO INC,Transportation,Industrials,2022-11-01,4 - Mid,"['R', 'XPO', 'LYFT', 'WERN', 'ARCB', 'MRTN', 'HTLD', 'ULH', 'PTSI', 'UBER']"
MBLY,MOBILEYE GLOBAL INC,Business Services,Consumer Cyclical,2022-10-26,5 - Large,['REE']
PRME,PRIME MEDICINE INC,Pharmaceutical Products,Healthcare,2022-10-24,3 - Small,"['BBIO', 'KYMR', 'VCYT', 'NUVL', 'BCRX', 'SNDX', 'MORF', 'CPRX', 'RNA']"
SDRL,SEADRILL LTD,Petroleum and Natural Gas,Energy,2022-10-16,4 - Mid,"['VAL', 'NBR']"
CTM,CASTELLUM INC,Business Services,Technology,2022-10-13,2 - Micro,"['CISO', 'RSSS', 'DPSI', 'VRAR', 'CSPI', 'OMQS', 'IBM']"
MPTI,M-TRON INDUSTRIES INC,Electronic Equipment,Technology,2022-10-07,1 - Nano,"['AIRG', 'CPSH', 'DYSL', 'TMPO', 'LGL', 'AMPG', 'APH']"
BHM,BLUEROCK HOMES TRUST INC,Trading,Real Estate,2022-10-06,2 - Micro,"['BRG', 'BRT', 'CLPR', 'AVB']"
BHVN,BIOHAVEN LTD,Pharmaceutical Products,Healthcare,2022-10-04,3 - Small,"['ABUS', 'NRIX', 'VIGL', 'IRON', 'CNCE', 'PEPG', 'ATRA', 'VOR', 'DSGN']"
XPER,XPERI INC,Business Services,Technology,2022-10-03,3 - Small,"['ZUO', 'ATEN', 'ADEA', 'SCWX', 'OSPN', 'TUFN', 'ZFOX', 'TLS', 'MSFT']"
LASE,LASER PHOTONICS CORP,Electrical Equipment,Industrials,2022-09-30,1 - Nano,"['TAYD', 'CVR', 'GTEC', 'ITW']"
NYAX,NAYAX LTD,Business Services,Technology,2022-09-21,3 - Small,"['INVZ', 'ARBE']"
THRD,THIRD HARMONIC BIO INC,Pharmaceutical Products,Healthcare,2022-09-19,3 - Small,"['ANTX', 'KMPH', 'OPTN', 'XERS', 'CTXR', 'IMRA', 'CRMD', 'JNJ']"
LNKB,LINKBANCORP INC,Banking,Financial Services,2022-09-19,2 - Micro,"['FFDF', 'PROV', 'SBFG', 'SFBC', 'PNC']"
NXL,NEXALIN TECHNOLOGY INC,Medical Equipment,Healthcare,2022-09-16,1 - Nano,"['HSDT', 'DYNT', 'INVO', 'NAOV', 'MICR', 'RMED', 'LHDX', 'INBS', 'ABT']"
CRBG,COREBRIDGE FINANCIAL INC,Insurance,Financial Services,2022-09-16,5 - Large,"['APO', 'EQH', 'VOYA', 'JXN', 'ALRS', 'BXLC']"
WLDS,WEARABLE DEVICES LTD,Computers,Technology,2022-09-13,1 - Nano,"['NNDM', 'OTIVF']"
YOSH,YOSHIHARU GLOBAL CO,Restaraunts Hotels Motels,Consumer Cyclical,2022-09-09,1 - Nano,"['LUB', 'BDL', 'GRIL', 'BFI', 'GTIM', 'RAVE', 'BTBD', 'MCD']"
SHPH,SHUTTLE PHARMACEUTICALS HOLDINGS INC,Pharmaceutical Products,Healthcare,2022-09-02,2 - Micro,"['VINC', 'NHWK', 'AGLE', 'ONVO', 'AGE', 'VCNX', 'ABVC']"
BIAF,BIOAFFINITY TECHNOLOGIES INC,Business Services,Healthcare,2022-09-02,1 - Nano,"['RGRX', 'AIMD', 'HILS', 'SLNO', 'CLVSQ', 'TOVX', 'IBIO']"
ATXG,ADDENTAX GROUP CORP,Business Services,Industrials,2022-09-02,2 - Micro,['BEST']
HPCO,HEMPACCO CO INC,Tobacco Products,Consumer Defensive,2022-08-31,2 - Micro,"['TPB', 'XXII', 'CHUC', 'PM']"
JFBR,JEFFS' BRANDS LTD,Retail,Consumer Cyclical,2022-08-26,1 - Nano,['GLBE']
JZ,JIANZHI EDUCATION TECHNOLOGY GROUP CO LTD,Personal Services,Consumer Defensive,2022-08-26,1 - Nano,"['STG', 'BEDU', 'AACG', 'TEDU', 'YQ', 'GSUN']"
ONFO,ONFOLIO HOLDINGS INC,Business Services,Communication Services,2022-08-26,1 - Nano,"['KBNT', 'CRTD', 'AUTO', 'GOOGL']"
PXMD,PAXMEDICA INC,Pharmaceutical Products,Healthcare,2022-08-26,1 - Nano,"['ZYNE', 'LCI', 'NMTR', 'JNJ']"
MOB,MOBILICOM LTD,Aircraft,Technology,2022-08-25,1 - Nano,"['SATX', 'BOSC', 'RITT', 'RDWR']"
LUCY,INNOVATIVE EYEWEAR INC,Medical Equipment,Healthcare,2022-08-15,1 - Nano,"['POAI', 'RMTI', 'SIEN', 'CEMI', 'SRGA', 'NXGL', 'STSS']"
LUXH,LUXURBAN HOTELS INC,Real Estate,Consumer Cyclical,2022-08-15,2 - Micro,"['INTG', 'MAYS', 'WAYS', 'SFR', 'CPTP', 'RFL', 'TPHS', 'DBRG']"
FRZA,FORZA X1 INC,Shipbuilding Railroad Equipment,Consumer Cyclical,2022-08-15,1 - Nano,"['AOUT', 'NLS', 'VEEE', 'HAS']"
REBN,REBORN COFFEE INC,Restaraunts Hotels Motels,Consumer Cyclical,2022-08-12,1 - Nano,"['WMK', 'IMKTA', 'VLGEA', 'NGVC', 'APRN', 'IFMK', 'CRMBQ', 'KR']"
TGL,TREASURE GLOBAL INC,Business Services,Technology,2022-08-11,1 - Nano,"['HHS', 'DRCT', 'LYLT', 'SWAG', 'SGRP', 'BMTM', 'TRKA', 'TTD']"
NCRA,NOCERA INC,Agriculture,Consumer Defensive,2022-08-11,2 - Micro,"['WLMS', 'OIG', 'QTEK', 'ISUN', 'SGBX', 'PWR']"
MEGL,MAGIC EMPIRE GLOBAL LTD,Banking,Financial Services,2022-08-07,1 - Nano,['LGHL']
EFSH,1847 HOLDINGS LLC,Business Services,Industrials,2022-08-07,1 - Nano,"['MMM', 'IEP', 'SPLP', 'VINO', 'HON']"
FIP,FTAI INFRASTRUCTURE INC,Wholesale,Industrials,2022-08-02,3 - Small,"['UNP', 'CSX', 'NSC']"
MGAM,MOBILE GLOBAL ESPORTS INC,Entertainment,Communication Services,2022-07-29,1 - Nano,"['GAIA', 'FGH', 'DLPN', 'MITQ', 'DIS']"
MAIA,MAIA BIOTECHNOLOGY INC,Pharmaceutical Products,Healthcare,2022-07-28,2 - Micro,"['BCEL', 'TYME', 'CYT', 'SYBX', 'SPRB', 'ONCT', 'GANX', 'AQB']"
ECBK,ECB BANCORP INC,Banking,Financial Services,2022-07-28,2 - Micro,"['BSBK', 'SNFCA', 'RNDB', 'GFED', 'CFBK', 'OFED', 'PBIP', 'RBKB', 'PROV', 'RKT']"
HLN,HALEON PLC,Consumer Goods,Healthcare,2022-07-22,5 - Large,['ABTI']
HKD,AMTD DIGITAL INC,Banking,Technology,2022-07-18,5 - Large,"['KARO', 'TRIRF']"
ILAG,INTELLIGENT LIVING APPLICATION GROUP INC,Business Supplies,Basic Materials,2022-07-13,1 - Nano,"['TGSI', 'AEHL']"
PMN,PROMIS NEUROSCIENCES INC,Pharmaceutical Products,Healthcare,2022-07-08,2 - Micro,"['PRTG', 'XENE']"
USEA,UNITED MARITIME CORP,Transportation,Industrials,2022-07-06,1 - Nano,"['ESEA', 'SHIP', 'PXS', 'EDRY', 'GLBS', 'OP', 'PSHG', 'SBLK']"
EHAB,ENHABIT INC,Healthcare,Healthcare,2022-07-01,3 - Small,"['CCRN', 'DCGO', 'FLGT', 'OPK', 'ACCD', 'CSTL', 'NVTA', 'CMAX', 'CVS']"
IE,IVANHOE ELECTRIC INC,Non-Metallic and Industrial Metal Mining,Basic Materials,2022-06-28,3 - Small,"['LAC', 'TECK']"
