id,symbol,cryptoName,marketCap
1,BTC,BITCOIN,511917391732.83563
1027,ETH,ETHEREUM,198289588580.7997
825,USDT,TETHER,82873153248.14783
1839,BNB,BNB,33399899671.866577
52,XRP,XRP,26744867560.374737
3408,USDC,USD COIN,25956963991.12586
8085,stETH,LIDO STAKED ETH,14105378168.38944
2010,ADA,CARDANO,9052223475.807905
74,DOGE,DOGECOIN,8963192081.710508
5426,SOL,SOLANA,8138380009.254779
18579,WTRX,WRAPPED TRON,8043825437.125208
1958,TRX,TRON,7058864657.376517
11419,TON,TONCOIN,6233238731.45873
4943,DAI,DAI,5346968911.697016
6636,DOT,POLKADOT,5224477800.007445
3890,MATIC,POLYGON,5174823294.918625
2,LTC,LITECOIN,4690295784.440299
5994,SHIB,SHIBA INU,4525431516.034039
3717,WBTC,WRAPPED BITCOIN,4272328134.6653504
1831,BCH,BITCOIN CASH,3767667205.2596483
5805,AVAX,AVALANCHE,3555358562.782145
3957,LEO,UNUS SED LEO,3494024605.7706094
1975,LINK,CHAINLINK,3441365779.1495495
512,XLM,STELLAR,3403598039.405747
2563,TUSD,TRUEUSD,3257479671.3698196
4687,BUSD,BINANCE USD,2618705653.7803984
328,XMR,MONERO,2615487578.777455
7083,UNI,UNISWAP,2585892508.590882
3897,OKB,OKB,2542375313.0397296
3794,ATOM,COSMOS,2516312142.2765913
1321,ETC,ETHEREUM CLASSIC,2229115501.288147
2027,CNX,CRYPTONEX,2058917766.8448963
4642,HBAR,HEDERA,1647578885.2835088
8916,ICP,INTERNET COMPUTER,1490885292.2636979
2280,FIL,FILECOIN,1455773065.9812531
8000,LDO,LIDO DAO,1421577316.3598468
4023,BTCB,BITCOIN BEP2,1413034001.698265
3635,CRO,CRONOS,1299889609.7319236
21794,APT,APTOS,1291730430.6524184
3155,QNT,QUANT,1216322733.708742
3077,VET,VECHAIN,1140783367.6360765
1518,MKR,MAKER,1125152754.7485669
6535,NEAR,NEAR PROTOCOL,1079591558.13292
11840,OP,OPTIMISM,1067393016.3489223
7278,AAVE,AAVE,815516752.1794181
20396,KAS,KASPA,807729486.6193455
6719,GRT,THE GRAPH,800998565.6898367
2634,XDC,XDC NETWORK,775626463.2851293
4030,ALGO,ALGORAND,762395781.3059162
19891,USDD,USDD,723164376.0533613
5015,HEX,HEX,688377441.9798717
6952,FRAX,FRAX,670230033.3031752
2011,XTZ,TEZOS,659893931.6300043
4847,STX,STACKS,657078209.7180228
1765,EOS,EOS,647135781.7815238
6783,AXS,AXIE INFINITY,644682054.1001092
6892,EGLD,MULTIVERSX,643080732.1944624
6210,SAND,THE SANDBOX,636379403.4042352
5524,TNC,TNC COIN,630915475.9478204
2416,THETA,THETA NETWORK,628604007.6123297
2586,SNX,SYNTHETIX,626485260.639302
10603,IMX,IMMUTABLEX,616209968.9203908
11092,BGB,BITGET TOKEN,609815432.1384394
3602,BSV,BITCOIN SV,591297372.4834139
7226,INJ,INJECTIVE,584152484.490097
3513,FTM,FANTOM,569232611.7063171
1966,MANA,DECENTRALAND,564080124.8035331
7192,WBNB,WRAPPED BNB,553275404.016901
11948,XRD,RADIX,551130500.4097745
5690,RNDR,RENDER TOKEN,543179647.2836776
4157,RUNE,THORCHAIN,542221892.9354625
1376,NEO,NEO,525346768.2875964
1720,MIOTA,IOTA,503688122.33926886
4846,KAVA,KAVA,502915729.57788616
18876,APE,APECOIN,501579054.34594136
3330,USDP,PAX DOLLAR,499237681.2259312
4705,PAXG,PAX GOLD,475043598.2491986
5176,XAUT,TETHER GOLD,473241412.340187
2943,RPL,ROCKET POOL,467317025.4024038
10791,XEC,ECASH,456067592.27481204
4558,FLOW,FLOW,454659119.0551345
4066,CHZ,CHILIZ,440419124.954777
7334,CFX,CONFLUX,424982237.1919741
4256,KLAY,KLAYTN,424947856.6490132
7950,FLR,FLARE,420927953.1552912
1437,ZEC,ZCASH,411165286.3942323
6953,FXS,FRAX SHARE,410015329.6370952
5899,CSPR,CASPER,392599480.2810205
2502,HT,HUOBI TOKEN,390071330.35126233
6538,CRV,CURVE DAO TOKEN,388073654.1447464
2087,KCS,KUCOIN TOKEN,388023206.0915097
16086,BTT,BITTORRENT-NEW,385320091.22342575
7080,GALA,GALA,378812701.0248094
4269,GT,GATETOKEN,378722565.00539577
5830,NXM,NXM,376085613.0771581
8646,MINA,MINA,369775809.9960257
4172,LUNC,TERRA CLASSIC,352119651.1517642
4195,FTT,FTX TOKEN,344365374.17491335
5964,TWT,TRUST WALLET TOKEN,334199964.35148615
2694,NEXO,NEXO,328633322.5494269
11156,DYDX,DYDX,323294751.9661503
12885,ASTR,ASTAR,314845771.2759328
5692,COMP,COMPOUND,312919962.0612592
9816,NFT,APENFT,312802526.0337957
11857,GMX,GMX,311605664.2904012
3306,GUSD,GEMINI DOLLAR,308796421.0011715
5446,USDJ,USDJ,305239189.5704599
131,DASH,DASH,298477419.0148347
3718,BTTOLD,BITTORRENT,296211314.6474818
9566,LUSD,LIQUITY USD,286780800.9114593
7501,WOO,WOO NETWORK,286125265.7784657
5632,AR,ARWEAVE,282577461.8917484
7186,CAKE,PANCAKESWAP,277633284.77828246
5804,DFI,DEFICHAIN,264674689.8932734
1659,GNO,GNOSIS,264407385.3837772
7653,ROSE,OASIS NETWORK,263911519.84540954
2469,ZIL,ZILLIQA,262908268.29114953
2130,ENJ,ENJIN COIN,260079327.36525425
1697,BAT,BASIC ATTENTION TOKEN,256888456.63719043
8104,1INCH,1INCH NETWORK,254612367.95036077
4041,MX,MX TOKEN,253061485.48993
1934,LRC,LOOPRING,248026666.76506883
8119,SFP,SAFEPAL,244350728.35378563
7431,AKT,AKASH NETWORK,242089311.74150795
2424,AGIX,SINGULARITYNET,239821490.7452135
