None,table,permaticker,ticker,name,exchange,isdelisted,category,cusips,siccode,sicsector,sicindustry,famasector,famaindustry,sector,industry,scalemarketcap,scalerevenue,relatedtickers,currency,location,lastupdated,firstadded,firstpricedate,lastpricedate,firstquarter,lastquarter,secfilings,companysite
0,SF1,640388,FMST,FOREMOST LITHIUM RESOURCE & TECHNOLOGY LTD,NASDAQ,N,Canadian Common Stock Primary Class,345510101 345510200,1090,Mining,Miscellaneous Metal Ores,,Non-Metallic and Industrial Metal Mining,Basic Materials,Uranium,,,FRRSF FMSTW,CAD,British Columbia; Canada,2023-08-23,2023-08-23,2023-08-22,2023-08-29,2021-03-31,2023-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001935418,
1,SF1,640365,NNAGU,99 ACQUISITION GROUP INC,NASDAQ,N,Domestic Common Stock,,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,Industrials,Shell Companies,,,,USD,Maryland; U.S.A,2023-08-21,2023-08-21,2023-08-18,2023-08-29,2022-12-31,2023-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001950429,
2,SF1,640361,SEZL,SEZZLE INC,NASDAQ,N,Domestic Common Stock,U8180P106,7389,Services,Services-Business Services Nec,,Business Services,Technology,Software - Application,,2 - Micro,,USD,Minnesota; U.S.A,2023-08-17,2023-08-17,2023-08-17,2023-08-28,2019-12-31,2023-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001662991,http://www.sezzle.com
3,SF1,640355,SRM,SRM ENTERTAINMENT INC,NASDAQ,N,Domestic Common Stock,,3944,Manufacturing,Games Toys & Children'S Vehicles (No Dolls & Bicycles),,Recreation,Consumer Cyclical,Leisure,,1 - Nano,,USD,Florida; U.S.A,2023-08-16,2023-08-16,2023-08-15,2023-08-29,2021-12-31,2023-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001956744,https://www.srmentertainment.com
4,SF1,640351,SPGC,SACKS PARENTE GOLF INC,NASDAQ,N,Domestic Common Stock,,3949,Manufacturing,Sporting & Athletic Goods Nec,,Recreation,Consumer Cyclical,Leisure,,1 - Nano,,USD,California; U.S.A,2023-08-15,2023-08-15,2023-08-15,2023-08-29,2020-12-31,2022-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001934245,
5,SF1,640332,DBD,DIEBOLD NIXDORF INC,NYSE,N,Domestic Common Stock,,3578,Manufacturing,Calculating & Accounting Machines (No Electronic Computers),,Computers,Technology,Software - Application,,3 - Small,,USD,Ohio; U.S.A,2023-08-14,2023-08-14,2023-08-14,2023-08-29,2022-06-30,2023-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000028823,http://www.dieboldnixdorf.com
6,SF1,640316,LQR,LQR HOUSE INC,NASDAQ,N,Domestic Common Stock,,2080,Manufacturing,Beverages,,Beer & Liquor,Consumer Defensive,Beverages - Wineries & Distilleries,,1 - Nano,,USD,Florida; U.S.A,2023-08-10,2023-08-10,2023-08-10,2023-08-29,2021-12-31,2023-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001843165,
7,SF1,640311,NRXS,NEURAXIS INC,NYSEMKT,N,Domestic Common Stock,,3845,Manufacturing,Electromedical & Electrotherapeutic Apparatus,,Medical Equipment,Healthcare,Medical Devices,,1 - Nano,,USD,Indiana; U.S.A,2023-08-09,2023-08-09,2023-08-09,2023-08-29,2020-12-31,2023-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001933567,
8,SF1,640305,FTEL,FITELL CORP,NASDAQ,N,ADR Common Stock,,3949,Manufacturing,Sporting & Athletic Goods Nec,,Recreation,Consumer Cyclical,Leisure,,1 - Nano,,USD,Australia,2023-08-08,2023-08-08,2023-08-08,2023-08-29,2021-06-30,2022-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001928581,
9,SF1,640294,MIRA,MIRA PHARMACEUTICALS INC,NASDAQ,N,Domestic Common Stock,,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,Healthcare,Biotechnology,,,,USD,Maryland; U.S.A,2023-08-03,2023-08-03,2023-08-03,2023-08-29,2021-12-31,2023-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001904286,
