,price,quantity,total
0,0.8591,7149.1,7149.1
1,0.859,7340.3,14489.400000000001
2,0.8589,17829.8,32319.2
3,0.8588,17633.9,49953.100000000006
4,0.8587,19393.6,69346.70000000001
5,0.8586,35974.1,105320.80000000002
6,0.8585,13282.1,118602.90000000002
7,0.8584,39189.6,157792.50000000003
8,0.8583,5756.9,163549.40000000002
9,0.8582,29867.3,193416.7
10,0.8581,33557.0,226973.7
11,0.858,10069.8,237043.5
12,0.8579,2625.7,239669.2
13,0.8578,45176.9,284846.10000000003
14,0.8577,26157.0,311003.10000000003
15,0.8576,10326.1,321329.2
16,0.8575,10189.3,331518.5
17,0.8574,20567.4,352085.9
18,0.8573,259.8,352345.7
19,0.8572,55018.1,407363.8
20,0.8571,13962.1,421325.89999999997
21,0.857,155.0,421480.89999999997
22,0.8569,16963.4,438444.3
23,0.8568,23507.7,461952.0
24,0.8567,16638.0,478590.0
25,0.8566,17668.7,496258.7
26,0.8565,11597.5,507856.2
27,0.8564,11441.4,519297.60000000003
28,0.8563,13025.1,532322.7000000001
29,0.8562,2392.5,534715.2000000001
30,0.8561,2143.1,536858.3
31,0.856,6311.6,543169.9
32,0.8559,3724.8,546894.7000000001
33,0.8558,61693.8,608588.5000000001
34,0.8557,727.4,609315.9000000001
35,0.8556,15276.5,624592.4000000001
36,0.8555,12550.4,637142.8000000002
37,0.8554,16430.2,653573.0000000001
38,0.8553,4893.7,658466.7000000001
39,0.8552,5939.3,664406.0000000001
40,0.8551,50.0,664456.0000000001
41,0.855,10377.2,674833.2000000001
42,0.8549,255.9,675089.1000000001
43,0.8548,58.0,675147.1000000001
44,0.8547,50.0,675197.1000000001
45,0.8546,89.0,675286.1000000001
46,0.8545,257.5,675543.6000000001
47,0.8544,112.4,675656.0000000001
48,0.8543,113.6,675769.6000000001
49,0.8542,309.2,676078.8
50,0.8541,998.6,677077.4
51,0.854,114.7,677192.1
52,0.8539,2872.0,680064.1
53,0.8538,239.6,680303.7
54,0.8537,87.0,680390.7
55,0.8536,56.6,680447.2999999999
56,0.8535,182.3,680629.6
57,0.8534,39871.5,720501.1
58,0.8533,8102.6,728603.7
59,0.8532,114.8,728718.5
60,0.8531,130093.6,858812.1
61,0.853,164.6,858976.7
62,0.8529,97.8,859074.5
63,0.8528,523.8,859598.3
64,0.8527,50.0,859648.3
65,0.8526,723.4,860371.7000000001
66,0.8525,68.6,860440.3
67,0.8524,91.6,860531.9
68,0.8523,352.5,860884.4
69,0.8522,1496.7,862381.1
70,0.8521,40032.9,902414.0
71,0.852,2075.4,904489.4
72,0.8519,136.8,904626.2000000001
73,0.8518,215.5,904841.7000000001
74,0.8517,217.8,905059.5000000001
75,0.8516,1281.8,906341.3000000002
76,0.8515,295.6,906636.9000000001
77,0.8514,464.6,907101.5000000001
78,0.8513,96.8,907198.3000000002
79,0.8512,7817.0,915015.3000000002
80,0.8511,182.5,915197.8000000002
81,0.851,5322.4,920520.2000000002
82,0.8509,36538.0,957058.2000000002
83,0.8508,124.5,957182.7000000002
84,0.8507,163.2,957345.9000000001
85,0.8506,91.3,957437.2000000002
86,0.8505,136.6,957573.8000000002
87,0.8504,94.1,957667.9000000001
88,0.8503,454.3,958122.2000000002
89,0.8502,456.0,958578.2000000002
90,0.8501,2144.7,960722.9000000001
91,0.85,29116.1,989839.0000000001
92,0.8499,2312.1,992151.1000000001
93,0.8498,127.0,992278.1000000001
94,0.8497,186.0,992464.1000000001
95,0.8496,635.5,993099.6000000001
96,0.8495,3381.3,996480.9000000001
97,0.8494,60.4,996541.3000000002
98,0.8493,140.6,996681.9000000001
99,0.8492,86.2,996768.1000000001
100,0.8491,244.2,997012.3
101,0.849,2302.5,999314.8
102,0.8489,363.2,999678.0
103,0.8488,599.5,1000277.5
104,0.8487,610.4,1000887.9
105,0.8486,220.4,1001108.3
106,0.8485,353.6,1001461.9
107,0.8484,1192.0,1002653.9
108,0.8483,6.3,1002660.2000000001
109,0.8482,41.2,1002701.4
110,0.8481,986.2,1003687.6
111,0.848,27040.5,1030728.1
112,0.8479,8.7,1030736.7999999999
113,0.8478,116.8,1030853.6
114,0.8477,527.9,1031381.5
115,0.8476,101.0,1031482.5
116,0.8475,336.3,1031818.8
117,0.8474,19053.9,1050872.7
118,0.8473,57.8,1050930.5
119,0.8472,225.0,1051155.5
120,0.8471,75.2,1051230.7
121,0.847,22741.5,1073972.2
122,0.8469,420.8,1074393.0
123,0.8468,27.3,1074420.3
124,0.8467,72.5,1074492.8
125,0.8466,758.0,1075250.8
126,0.8465,117.8,1075368.6
127,0.8464,234.7,1075603.3
128,0.8463,79.6,1075682.9000000001
129,0.8462,315.4,1075998.3
130,0.8461,332.1,1076330.4000000001
131,0.846,1118.1,1077448.5000000002
132,0.8459,96.1,1077544.6000000003
133,0.8458,122.4,1077667.0000000002
134,0.8457,346.2,1078013.2000000002
135,0.8456,44.4,1078057.6
136,0.8455,329.6,1078387.2000000002
137,0.8454,192.0,1078579.2000000002
138,0.8453,88.5,1078667.7000000002
139,0.8452,86.0,1078753.7000000002
140,0.8451,3489.4,1082243.1
141,0.845,8492.1,1090735.2000000002
142,0.8449,119.5,1090854.7000000002
143,0.8448,76.9,1090931.6
144,0.8447,18.5,1090950.1
145,0.8446,127.9,1091078.0
146,0.8445,72.0,1091150.0
147,0.8444,674.6,1091824.6
148,0.8443,52.7,1091877.3
149,0.8442,6116.6,1097993.9000000001
150,0.8441,137.0,1098130.9000000001
151,0.844,3046.7,1101177.6
152,0.8439,404.9,1101582.5
153,0.8438,251.6,1101834.1
154,0.8437,6.7,1101840.8
155,0.8436,197.0,1102037.8
156,0.8435,346.2,1102384.0
157,0.8434,223.2,1102607.2
158,0.8433,270.8,1102878.0
159,0.8432,130.4,1103008.4
160,0.8431,22105.9,1125114.2999999998
161,0.843,1138.4,1126252.6999999997
162,0.8429,88.5,1126341.1999999997
163,0.8428,661.4,1127002.5999999996
164,0.8427,120.9,1127123.4999999995
165,0.8426,42.4,1127165.8999999994
166,0.8425,173.7,1127339.5999999994
167,0.8424,51.1,1127390.6999999995
168,0.8423,86.9,1127477.5999999994
169,0.8422,315.9,1127793.4999999993
170,0.8421,190.7,1127984.1999999993
171,0.842,296.8,1128280.9999999993
172,0.8419,30.5,1128311.4999999993
173,0.8418,156.6,1128468.0999999994
174,0.8417,149.2,1128617.2999999993
175,0.8416,1701.5,1130318.7999999993
176,0.8415,1221.9,1131540.6999999993
177,0.8414,126.4,1131667.0999999992
178,0.8413,5124.1,1136791.1999999993
179,0.8412,27.5,1136818.6999999993
180,0.8411,75.9,1136894.5999999992
181,0.841,1985.8,1138880.3999999992
182,0.8409,95.1,1138975.4999999993
183,0.8408,414.2,1139389.6999999993
184,0.8407,2942.6,1142332.2999999993
185,0.8406,191.6,1142523.8999999994
186,0.8405,176.2,1142700.0999999994
187,0.8404,1048.0,1143748.0999999994
188,0.8403,191.9,1143939.9999999993
189,0.8402,374.7,1144314.6999999993
190,0.8401,988.0,1145302.6999999993
191,0.84,53427.7,1198730.3999999992
192,0.8399,218.8,1198949.1999999993
193,0.8398,203.6,1199152.7999999993
194,0.8397,1328.2,1200480.9999999993
195,0.8396,425.2,1200906.1999999993
196,0.8395,154.4,1201060.5999999992
197,0.8394,129.0,1201189.5999999992
198,0.8393,915.4,1202104.999999999
199,0.8392,170.9,1202275.899999999
200,0.8391,72.1,1202347.999999999
201,0.839,468.9,1202816.899999999
202,0.8389,57.7,1202874.599999999
