date,marketcapsum
2017-01-01,17253037237.16817
2017-01-02,17654500750.15577
2017-01-03,18131792703.205475
2017-01-04,20069442525.573174
2017-01-05,17674854182.3018
2017-01-06,15870618162.1711
2017-01-07,15948014918.2233
2017-01-08,16026495353.5843
2017-01-09,15910454490.902502
2017-01-10,16043671256.7234
2017-01-11,13832085041.462301
2017-01-12,14291930750.728098
2017-01-13,14596946240.9612
2017-01-14,14508850127.386799
2017-01-15,14584023084.258999
2017-01-16,14720618336.6503
2017-01-17,16015121212.104801
2017-01-18,15658063541.2042
2017-01-19,15889876652.881203
2017-01-20,15833138178.3409
2017-01-21,16295897175.4349
2017-01-22,16323800409.172703
2017-01-23,16276289110.007
2017-01-24,15796201673.428802
2017-01-25,15931200792.864498
2017-01-26,16206618528.8149
2017-01-27,16229863100.439503
2017-01-28,16261776005.729101
2017-01-29,16224783344.203701
2017-01-30,16256860271.2988
2017-01-31,17090071173.986
2017-02-01,17402247511.9321
2017-02-02,17778268143.5501
2017-02-03,18099071096.076603
2017-02-04,18338571743.102898
2017-02-05,18080047203.652298
2017-02-06,18260525915.4972
2017-02-07,18646361196.970604
2017-02-08,18669628715.745903
2017-02-09,17514291229.4337
2017-02-10,17442336608.926003
2017-02-11,17708284463.8045
2017-02-12,17625762211.5144
2017-02-13,17475681795.272102
2017-02-14,17862763990.691303
2017-02-15,17900119026.5096
2017-02-16,18217955291.217804
2017-02-17,18502533314.712803
2017-02-18,18632778823.3866
2017-02-19,18535679712.395996
2017-02-20,19028230472.9301
2017-02-21,19622528625.3174
2017-02-22,19654772611.998703
2017-02-23,20505433674.093105
2017-02-24,20609395470.595802
2017-02-25,20169006403.573902
2017-02-26,20605072114.1686
2017-02-27,20922088250.737297
2017-02-28,20957804370.954697
2017-03-01,21782469375.831303
2017-03-02,22427166171.367
2017-03-03,22870314424.4042
2017-03-04,22472532320.6729
2017-03-05,22725270269.689396
2017-03-06,22846531094.176598
2017-03-07,22009493160.8008
2017-03-08,20616943137.899704
2017-03-09,21344576577.518997
2017-03-10,20310417099.509598
2017-03-11,21466760407.952705
