id,symbol,name,marketcap
1,BTC,BITCOIN,509223711776.31757
1027,ETH,ETHEREUM,200850943822.22253
825,USDT,TETHER,82838553405.49353
1839,BNB,BNB,32522515623.8473
52,XRP,XRP,27666491940.768894
3408,USDC,USD COIN,25993474837.310646
8085,stETH,LIDO STAKED ETH,13816738972.680515
2010,ADA,CARDANO,9270619815.301802
74,DOGE,DOGECOIN,8795554807.514368
5426,SOL,SOLANA,8665146765.850035
18579,WTRX,WRAPPED TRON,7603015407.910675
1958,TRX,TRON,6725365143.313224
6636,DOT,POLKADOT,5409679731.235839
4943,DAI,DAI,5345952650.776894
3890,MATIC,POLYGON,5220990389.818996
2,LTC,LITECOIN,4917868214.376804
5994,SHIB,SHIBA INU,4710368848.023339
11419,TON,TONCOIN,4664666702.689002
3717,WBTC,WRAPPED BITCOIN,4251634055.9222913
