ticker,date,open,high,low,close,volume,closeadj,closeunadj,lastupdated,log_returns,H-L,H-PC,L-PC,TR,ATR,ma_fast,ma_slow,macd,signal,rsi,+di,-di,dx,adx,%K,%D,rolling_mean,rolling_std,upper_band,lower_band
LND,2020-01-02,4.72,4.78,4.72,4.78,1251.0,3.586,4.78,2023-08-15,,0.0600000000000005,,,,,,,,,,,,,,,,,,,
LND,2020-01-03,4.76,4.76,4.701,4.701,1314.0,3.527,4.701,2023-08-15,-0.016665294461371324,0.05900000000000016,0.020000000000000462,0.07900000000000063,0.07900000000000063,,,,,,,,,,,,,,,,
LND,2020-01-06,4.8,4.8,4.72,4.8,1761.0,3.601,4.8,2023-08-15,0.020840665871851922,0.08000000000000007,0.0990000000000002,0.019000000000000128,0.0990000000000002,,,,,,,,,,,,,,,,
LND,2020-01-07,4.8,4.8,4.8,4.8,227.0,3.601,4.8,2023-08-15,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
LND,2020-01-08,4.8,4.8,4.754,4.754,2156.0,3.567,4.754,2023-08-15,-0.00962954897584312,0.04600000000000026,0.0,0.04600000000000026,0.04600000000000026,,,,,,,,,,,,,,,,
LND,2020-01-09,4.8,4.8,4.774,4.784,2046.0,3.589,4.784,2023-08-15,0.006290647710328535,0.0259999999999998,0.04600000000000026,0.020000000000000462,0.04600000000000026,,,,,,,,,,,,,,,,
LND,2020-01-10,4.8,4.93,4.8,4.93,2232.0,3.699,4.93,2023-08-15,0.030061971406268134,0.1299999999999999,0.1459999999999999,0.016000000000000014,0.1459999999999999,,,,,,,,,,,,,,,,
LND,2020-01-13,4.95,4.95,4.793,4.8,7934.0,3.601,4.8,2023-08-15,-0.026723070140753508,0.15700000000000003,0.020000000000000462,0.13699999999999957,0.15700000000000003,,,,,,,,,,,,,,,,
LND,2020-01-14,4.8,4.88,4.8,4.88,768.0,3.661,4.88,2023-08-15,0.016529301951210506,0.08000000000000007,0.08000000000000007,0.0,0.08000000000000007,,,,,,,,,,,,,,,,
LND,2020-01-15,4.87,4.87,4.79,4.837,2262.0,3.629,4.837,2023-08-15,-0.008850526024209661,0.08000000000000007,0.009999999999999787,0.08999999999999986,0.08999999999999986,,,,,,,,,,,,,,,,
LND,2020-01-16,4.87,4.87,4.774,4.774,2332.0,3.581,4.774,2023-08-15,-0.013110165924207752,0.09600000000000009,0.03300000000000036,0.06299999999999972,0.09600000000000009,,,,,,,,,,,,,,,,
LND,2020-01-17,4.78,4.78,4.635,4.69,4301.0,3.519,4.69,2023-08-15,-0.017751945458450227,0.14500000000000046,0.006000000000000227,0.13900000000000023,0.14500000000000046,,4.792421789693342,,,,,,,,,,,,,,
LND,2020-01-21,4.61,4.85,4.61,4.85,608.0,3.639,4.85,2023-08-15,0.03354612249120359,0.23999999999999932,0.15999999999999925,0.08000000000000007,0.23999999999999932,,4.8024195543690205,,,,,,,,,,,,,,
LND,2020-01-22,4.77,4.912,4.77,4.85,25514.0,3.639,4.85,2023-08-15,0.0,0.14200000000000035,0.06200000000000028,0.08000000000000007,0.14200000000000035,,4.810520985101607,,,,53.6458333333333,20.3148012163658,14.450358281287226,16.86873588333308,,70.58823529411748,,,,,
LND,2020-01-23,4.98,4.98,4.98,4.98,274.0,3.736,4.98,2023-08-15,0.026451186087169853,0.0,0.13000000000000078,0.13000000000000078,0.13000000000000078,0.11659040876985567,4.838911621476571,,,,59.174311926605505,26.73723361366594,13.401105629690385,33.225410506198116,,100.00000000000001,,,,,
LND,2020-01-24,4.98,4.98,4.98,4.98,203.0,3.736,4.98,2023-08-15,0.0,0.0,0.0,0.0,0.0,0.104534779277617,4.8622275884466335,,,,63.79821958456977,inf,inf,,,100.00000000000001,90.1960784313725,,,,
LND,2020-01-27,4.72,4.82,4.58,4.58,11306.0,3.436,4.58,2023-08-15,-0.08373089291046809,0.2400000000000002,0.16000000000000014,0.40000000000000036,0.40000000000000036,0.13400380115502253,4.816113495823802,,,,41.615853658536594,6.3186945021737255,17.783673893083566,47.56785392578202,,0.0,66.66666666666667,,,,
LND,2020-01-28,4.58,4.58,4.58,4.58,285.0,3.436,4.58,2023-08-15,0.0,0.0,0.0,0.0,0.0,0.12106642257844803,4.777898975268015,,,,41.615853658536594,inf,inf,,,0.0,33.333333333333336,,,,
LND,2020-01-29,4.71,4.71,4.64,4.676,1351.0,3.508,4.676,2023-08-15,0.02074404548372848,0.07000000000000028,0.1299999999999999,0.05999999999999961,0.1299999999999999,0.12190389152231884,4.7615377414869124,,,,47.136563876652005,28.53626134774804,40.13851926458043,16.894495786346283,,24.0,8.0,,,,
