None,table,permaticker,ticker,name,exchange,isdelisted,category,cusips,siccode,sicsector,sicindustry,famasector,famaindustry,sector,industry,scalemarketcap,scalerevenue,relatedtickers,currency,location,lastupdated,firstadded,firstpricedate,lastpricedate,firstquarter,lastquarter,secfilings,companysite
0,SF1,640938,SYNX,SILYNXCOM LTD,NYSEMKT,N,ADR Common Stock,,3651,Manufacturing,Household Audio & Video Equipment,,Recreation,Technology,Consumer Electronics,,1 - Nano,,USD,Israel,2024-01-12,2024-01-12,2024-01-12,2024-01-12,2021-12-31,2023-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001976443,
1,SF1,640905,ROMA,ROMA GREEN FINANCE LTD,NASDAQ,N,ADR Common Stock,,8742,Services,Services-Management Consulting Services,,Business Services,Technology,Information Technology Services,,1 - Nano,,HKD,Hong Kong,2024-01-09,2024-01-09,2024-01-09,2024-01-12,2021-03-31,2023-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001945240,
2,SF1,640900,ALTM,ARCADIUM LITHIUM PLC,NYSE,N,Domestic Common Stock,,2800,Manufacturing,Chemicals & Allied Products,,Chemicals,Basic Materials,Specialty Chemicals,,3 - Small,,USD,Pennsylvania; U.S.A,2024-01-04,2024-01-04,2024-01-04,2024-01-12,2022-06-30,2023-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001742924,http://www.livent.com
3,SF1,640876,NBBK,NB BANCORP INC,NASDAQ,N,Domestic Common Stock,,6036,Finance Insurance And Real Estate,Savings Institutions Not Federally Chartered,,Banking,Financial Services,Banks - Regional,,2 - Micro,,USD,Massachusetts; U.S.A,2023-12-28,2023-12-28,2023-12-28,2024-01-12,2021-12-31,2023-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001979330,https://www.needhambank.com
4,SF1,640874,IROHU,IRON HORSE ACQUISITIONS CORP,NASDAQ,N,Domestic Common Stock,,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,Industrials,Shell Companies,,,,USD,California; U.S.A,2023-12-27,2023-12-27,2023-12-27,2024-01-12,2021-12-31,2023-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001901203,
5,SF1,640860,CDLR,CADELER A,NYSE,N,ADR Common Stock,,4412,Transportation Communications Electric Gas And Sanitary Service,Deep Sea Foreign Transportation Of Freight,,Transportation,Industrials,Marine Shipping,,2 - Micro,,EUR,Denmark,2023-12-20,2023-12-20,2023-12-20,2024-01-12,2021-12-31,2023-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001978867,https://www.cadeler.com
6,SF1,640854,LGCB,LINKAGE GLOBAL INC,NASDAQ,N,ADR Common Stock,,5961,Retail Trade,Retail-Catalog & Mail-Order Houses,,Retail,Consumer Cyclical,Internet Retail,,1 - Nano,,USD,Japan,2023-12-19,2023-12-19,2023-12-19,2024-01-12,2021-09-30,2023-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001969401,https://www.linkagecc.com
7,SF1,640850,BAYA,BAYVIEW ACQUISITION CORP,NASDAQ,N,Domestic Common Stock Primary Class,,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,Industrials,Shell Companies,,,BAYAR BAYAU,USD,New York; U.S.A,2023-12-29,2023-12-18,2023-12-18,2024-01-12,2023-09-30,2023-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001969475,
8,SF1,640849,DEC,DIVERSIFIED ENERGY CO PLC,NYSE,N,ADR Common Stock,,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,Energy,Oil & Gas E&P,,3 - Small,,USD,Alabama; U.S.A,2023-12-18,2023-12-18,2023-12-18,2024-01-12,2021-12-31,2023-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001922446,
9,SF1,640840,ZKH,ZKH GROUP LTD,NYSE,N,ADR Common Stock,,5200,Retail Trade,Retail-Building Materials Hardware Garden Supply,,Retail,Consumer Cyclical,Internet Retail,,3 - Small,,CNY,China,2023-12-15,2023-12-15,2023-12-15,2024-01-12,2021-12-31,2023-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001862044,https://www.zkh.com
