,date,value
0,1960-01-01,59716249310.9742
1,1961-01-01,50056685957.359
2,1962-01-01,47209186415.3555
3,1963-01-01,50706614526.1472
4,1964-01-01,59708125203.8643
5,1965-01-01,70436008642.4251
6,1966-01-01,76720005491.8964
7,1967-01-01,72881364882.4909
8,1968-01-01,70846276051.4727
9,1969-01-01,79705614854.7674
10,1970-01-01,92602634891.6589
11,1971-01-01,99800593790.9886
12,1972-01-01,113689308020.343
13,1973-01-01,138543170458.064
14,1974-01-01,144188970821.072
15,1975-01-01,163429530659.638
16,1976-01-01,153939265947.775
17,1977-01-01,174935933078.663
18,1978-01-01,218502169137.562
19,1979-01-01,263711728825.005
20,1980-01-01,306165314855.846
21,1981-01-01,289576581830.449
22,1982-01-01,283928672988.111
23,1983-01-01,304748904221.289
24,1984-01-01,313728547706.897
25,1985-01-01,309835803013.587
26,1986-01-01,300514204520.969
27,1987-01-01,327089403146.073
28,1988-01-01,407844670393.058
29,1989-01-01,456289122063.159
30,1990-01-01,394565747349.055
31,1991-01-01,413375445354.473
32,1992-01-01,493136961883.002
33,1993-01-01,619111946511.628
34,1994-01-01,564321854521.013
35,1995-01-01,734484834573.582
36,1996-01-01,863749314718.538
37,1997-01-01,961601980984.623
38,1998-01-01,1029060747620.65
39,1999-01-01,1094010482677.39
40,2000-01-01,1211331651829.85
41,2001-01-01,1339400897153.44
42,2002-01-01,1470557654824.11
43,2003-01-01,1660280543870.95
44,2004-01-01,1955346768757.64
45,2005-01-01,2285961149904.26
46,2006-01-01,2752118657221.64
47,2007-01-01,3550327803024.69
48,2008-01-01,4594336785752.06
49,2009-01-01,5101691124358.41
50,2010-01-01,6087191746738.57
51,2011-01-01,7551545703518.14
52,2012-01-01,8532185381696.43
53,2013-01-01,9570471111847.82
54,2014-01-01,10475624944290.1
55,2015-01-01,11061572618594.8
56,2016-01-01,11233313730288.5
57,2017-01-01,12310491333980.9
58,2018-01-01,13894907857925.9
59,2019-01-01,14279968506242.8
60,2020-01-01,14687744162801.0
61,2021-01-01,17820459508852.2
62,2022-01-01,17963171479205.3
