ticker,companyName,numOfInsiders,transactionTotal
CRGX,CARGO THERAPEUTICS INC,4,39999975.0
HG,HAMILTON INSURANCE GROUP LTD,10,3404136.0
LXEO,LEXEO THERAPEUTICS INC,3,12499982.0
KLG,WK KELLOGG CO,8,1841822.0
SRBK,SR BANCORP INC,42,1183744.0
NMRA,NEUMORA THERAPEUTICS INC,20,6111296.0
TKO,TKO GROUP HOLDINGS INC,5,2849818.0
SEZL,SEZZLE INC,13,1766749.0
TXO,TXO PARTNERS LP,7,8926592.0
RXO,RXO INC,10,6794035.0
LUXH,LUXURBAN HOTELS INC,3,1114050.0
ACDC,PROFRAC HOLDING CORP,4,17074422.0
EXFY,EXPENSIFY INC,3,2364912.0
AURA,AURA BIOSCIENCES INC,7,15474987.0
AUGX,AUGMEDIX INC,3,6048500.0
LTH,LIFE TIME GROUP HOLDINGS INC,3,1644897.0
RELY,REMITLY GLOBAL INC,3,5809183.0
CAUD,COLLECTIVE AUDIENCE INC,20,16397858.0
WEST,WESTROCK COFFEE CO,11,1079833.0
FYBR,FRONTIER COMMUNICATIONS PARENT INC,5,14194500.0
RANI,RANI THERAPEUTICS HOLDINGS INC,8,10773012.0
INAB,IN8BIO INC,6,3158326.0
ERAS,ERASCA INC,4,1764429.0
SGHT,SIGHT SCIENCES INC,11,2993721.0
JANX,JANUX THERAPEUTICS INC,3,14965929.0
DAWN,DAY ONE BIOPHARMACEUTICALS INC,3,14978752.0
COCH,ENVOY MEDICAL INC,3,1161990.0
BRCC,BRC INC,4,1616375.0
GRND,GRINDR INC,3,1096418.0
OLMA,OLEMA PHARMACEUTICALS INC,5,8031290.0
NOTE,FISCALNOTE HOLDINGS INC,3,3617050.0
KRON,KRONOS BIO INC,3,1469841.0
ASAN,ASANA INC,5,11536513.0
ATHA,ATHIRA PHARMA INC,3,1462896.0
TNGX,TANGO THERAPEUTICS INC,4,17445000.0
KYMR,KYMERA THERAPEUTICS INC,9,5301258.0
NYC,AMERICAN STRATEGIC INVESTMENT CO,6,2347783.0
ASTR,ASTRA SPACE INC,5,1072315.0
RPTX,REPARE THERAPEUTICS INC,9,9071423.0
CERE,CEREVEL THERAPEUTICS HOLDINGS INC,4,394999948.0
NARI,INARI MEDICAL INC,3,2998063.0
AXR,AMREP CORP,47,1062132.0
B,BARNES GROUP INC,13,3989471.0
LUMN,LUMEN TECHNOLOGIES INC,3,1617430.0
EMR,EMERSON ELECTRIC CO,5,2111540.0
XOM,EXXON MOBIL CORP,3,26491400.0
INTC,INTEL CORP,4,2746975.0
VYX,NCR VOYIX CORP,3,1095412.0
NTRS,NORTHERN TRUST CORP,12,1737956.0
IHT,INNSUITES HOSPITALITY TRUST,7,14663266.0
BH,BIGLARI HOLDINGS INC,10,2530319.0
TEX,TEREX CORP,6,2989619.0
UEIC,UNIVERSAL ELECTRONICS INC,12,1959906.0
STAA,STAAR SURGICAL CO,41,41921427.0
INTZ,INTRUSION INC,14,1919935.0
ERNA,ETERNA THERAPEUTICS INC,6,11008608.0
CVV,CVD EQUIPMENT CORP,4,1269148.0
WTM,WHITE MOUNTAINS INSURANCE GROUP LTD,10,2961116.0
OXY,OCCIDENTAL PETROLEUM CORP,12,1147174941.0
HTLD,HEARTLAND EXPRESS INC,12,5972163.0
VOXX,VOXX INTERNATIONAL CORP,3,47062500.0
SRPT,SAREPTA THERAPEUTICS INC,6,5942300.0
AULT,AULT ALLIANCE INC,5,8809300.0
ADC,AGREE REALTY CORP,6,1748572.0
CYTH,CYCLO THERAPEUTICS INC,5,3097459.0
DLTR,DOLLAR TREE INC,8,988896034.0
OPK,OPKO HEALTH INC,43,4163030.0
MRCY,MERCURY SYSTEMS INC,8,18099153.0
