,date,value_DFF,value_DPRIME
0,1955-08-04,2.000,3.25
1,1955-08-05,2.000,3.25
2,1955-08-08,1.94,3.25
3,1955-08-09,1.94,3.25
4,1955-08-10,1.94,3.25
5,1955-08-11,1.94,3.25
6,1955-08-12,2.000,3.25
7,1955-08-15,2.000,3.25
8,1955-08-16,1.94,3.25
9,1955-08-17,1.94,3.25
10,1955-08-18,2.000,3.25
11,1955-08-19,2.000,3.25
12,1955-08-22,2.000,3.25
13,1955-08-23,2.000,3.25
14,1955-08-24,1.94,3.25
15,1955-08-25,2.000,3.25
16,1955-08-26,2.000,3.25
17,1955-08-29,2.000,3.25
18,1955-08-30,2.000,3.25
19,1955-08-31,2.000,3.25
20,1955-09-01,2.000,3.25
21,1955-09-02,2.13,3.25
22,1955-09-05,2.13,3.25
23,1955-09-06,2.000,3.25
24,1955-09-07,2.000,3.25
25,1955-09-08,2.13,3.25
26,1955-09-09,2.250,3.25
27,1955-09-12,2.250,3.25
28,1955-09-13,2.19,3.25
29,1955-09-14,2.000,3.25
30,1955-09-15,2.250,3.25
31,1955-09-16,2.19,3.25
32,1955-09-19,2.19,3.25
33,1955-09-20,2.19,3.25
34,1955-09-21,2.19,3.25
35,1955-09-22,2.19,3.25
36,1955-09-23,2.250,3.25
37,1955-09-26,2.250,3.25
38,1955-09-27,2.250,3.25
39,1955-09-28,2.250,3.25
40,1955-09-29,2.250,3.25
41,1955-09-30,2.19,3.25
42,1955-10-03,2.250,3.25
43,1955-10-04,2.250,3.25
44,1955-10-05,2.19,3.25
45,1955-10-06,2.250,3.25
46,1955-10-07,2.250,3.25
47,1955-10-10,2.250,3.25
48,1955-10-11,2.250,3.25
49,1955-10-12,2.250,3.25
50,1955-10-13,2.250,3.25
51,1955-10-14,2.250,3.50
52,1955-10-17,2.250,3.50
53,1955-10-18,2.19,3.50
54,1955-10-19,2.19,3.50
55,1955-10-20,2.250,3.50
56,1955-10-21,2.250,3.50
57,1955-10-24,2.250,3.50
58,1955-10-25,2.250,3.50
59,1955-10-26,2.250,3.50
60,1955-10-27,2.250,3.50
61,1955-10-28,2.250,3.50
62,1955-10-31,2.250,3.50
63,1955-11-01,2.250,3.50
64,1955-11-02,2.250,3.50
65,1955-11-03,2.250,3.50
66,1955-11-04,2.250,3.50
67,1955-11-07,2.250,3.50
68,1955-11-08,2.250,3.50
69,1955-11-09,2.250,3.50
70,1955-11-10,2.250,3.50
71,1955-11-11,2.250,3.50
72,1955-11-14,2.250,3.50
73,1955-11-15,2.250,3.50
74,1955-11-16,2.19,3.50
75,1955-11-17,2.250,3.50
76,1955-11-18,2.500,3.50
77,1955-11-21,2.500,3.50
78,1955-11-22,2.500,3.50
79,1955-11-23,2.500,3.50
80,1955-11-24,2.500,3.50
81,1955-11-25,2.500,3.50
82,1955-11-28,2.500,3.50
83,1955-11-29,2.500,3.50
84,1955-11-30,2.44,3.50
85,1955-12-01,2.500,3.50
86,1955-12-02,2.500,3.50
87,1955-12-05,2.500,3.50
88,1955-12-06,2.500,3.50
89,1955-12-07,2.500,3.50
90,1955-12-08,2.500,3.50
91,1955-12-09,2.500,3.50
92,1955-12-12,2.500,3.50
93,1955-12-13,2.44,3.50
94,1955-12-14,2.250,3.50
95,1955-12-15,2.44,3.50
96,1955-12-16,2.500,3.50
97,1955-12-19,2.500,3.50
98,1955-12-20,2.500,3.50
99,1955-12-21,2.44,3.50
100,1955-12-22,2.500,3.50
101,1955-12-23,2.500,3.50
102,1955-12-26,2.500,3.50
103,1955-12-27,2.500,3.50
104,1955-12-28,2.38,3.50
105,1955-12-29,2.500,3.50
106,1955-12-30,2.500,3.50
107,1956-01-02,2.500,3.50
108,1956-01-03,2.44,3.50
109,1956-01-04,1.250,3.50
110,1956-01-05,2.500,3.50
111,1956-01-06,2.500,3.50
