industry,ev,marketcap,evebit,evebitda,pb,pe,ps,beta1y,beta5y,dividendyieldforward,dividendyieldtrailing,return1y,return5y,volume,volumeavg1m,volumeavg3m
Steel Works Etc,6427.240476190475,5381.359523809524,15.862857142857145,9.334210526315788,1.75,19.812121212121212,0.8292682926829268,1.1054761904761903,1.4045238095238097,1.236829268292683,1.4628571428571429,12.019999999999998,41.15150000000001,775799.1904761905,1245266.357142857,1081556.761904762
Trading,7652.794197952219,4148.535153583617,149.71733615221987,58.36198347107438,129.93794212218648,144.8600472813239,16.901041666666668,0.4387538461538462,0.6105279503105591,3.006574074074074,3.1498617511520735,-0.3467973856209149,19.612985074626867,374902.7880184332,483199.7235023042,541479.0291858679
Personal Services,2736.3161290322582,1641.2274193548385,16.220000000000002,184.2261904761905,6.586538461538463,25.263636363636365,1.4576271186440677,0.7309677419354838,1.1491935483870968,0.3055737704918033,0.4712903225806452,-13.526666666666669,14.932058823529415,880462.3709677419,1068565.0161290322,803802.7580645161
Pharmaceutical Products,6720.281832543445,6023.225434439179,22.626282051282047,13.617682926829266,18.420626151012893,51.18289473684211,238.74357682619643,0.8891666666666667,1.035812101910828,0.9927672955974842,1.374622641509434,-23.20332786885246,-22.254392265193374,691834.177672956,950426.1666666666,929127.9402515723
Transportation,13540.21259259259,9683.772592592593,21.04035087719298,13.486666666666666,6.529268292682927,21.172727272727276,2.3886363636363632,0.796962962962963,1.2213533834586465,3.6147014925373133,4.155777777777779,2.461653543307087,35.40504504504505,1175742.274074074,1487249.8814814815,1677353.9185185186
Real Estate,7824.422580645161,2919.974193548387,71.49285714285713,27.07111111111111,2.170175438596491,114.22352941176472,7.260655737704919,1.060483870967742,1.1047540983606554,3.653064516129032,3.7654838709677416,-13.985438596491228,-0.39170731707317114,1031981.9354838709,2455547.5161290322,1752490.3870967743
Insurance,24225.846721311475,21855.64098360655,20.42222222222222,12.981720430107524,11.271428571428572,42.472093023255816,1.664705882352941,0.8341463414634147,0.9165573770491803,1.5537500000000002,1.8319512195121952,9.617310924369747,37.4219,525615.0406504065,707105.9268292683,824527.4471544715
Business Services,18624.630016583746,17912.17694859038,52.600000000000016,30.110355029585797,69.61776556776556,64.40796812749004,8.278231292517008,1.1116171617161716,1.2077114427860696,0.5890562913907285,0.7656600660066005,-13.217324185248714,30.16754237288136,1475715.0115321253,1623608.057660626,1732121.4003294893
Electronic Equipment,19290.01871921182,18345.517241379315,29.48230088495575,20.212403100775195,6.073936170212766,26.48811881188118,125.0004975124378,1.0875609756097564,1.3453170731707316,1.0548768472906407,1.1109268292682928,-14.884949999999998,71.63905325443787,2208522.0292682927,2011587.2536585366,2125670.936585366
Machinery,12504.254807692309,10910.641346153845,29.19375,15.479518072289157,17.39313725490196,28.52266666666667,2.4572815533980585,0.9947115384615385,1.4639423076923077,0.6951923076923076,0.8648076923076923,12.3976,35.15494252873563,571195.2884615385,1116002.9615384615,814183.9038461539
Retail,24078.001685393258,20467.04662921348,22.459663865546208,15.99769230769231,12.483018867924528,23.305660377358492,0.9601190476190476,1.0698876404494382,1.3971751412429378,1.1057714285714286,17.107471910112363,-17.319542857142856,53.95064516129032,2042615.106741573,1912282.0280898877,2040181.5337078653
Computers,45533.4630952381,43075.04285714286,34.07111111111111,29.410526315789472,7.3,75.51162790697674,24.904819277108437,1.1366666666666667,1.3204819277108435,0.5954216867469879,0.606904761904762,0.0471604938271605,49.11363636363637,1971385.4404761905,2408017.8571428573,2448792.4285714286
Non-Metallic and Industrial Metal Mining,11336.858928571428,10260.58214285714,49.7225806451613,24.27058823529412,3.2660377358490575,102.86999999999998,43.41388888888889,1.0838181818181818,1.4892727272727273,0.8042857142857143,0.9971428571428572,-1.03,84.20777777777779,1449456.642857143,1795831.0,1825663.142857143
Electrical Equipment,5499.295081967212,5100.736065573771,24.125,17.55769230769231,3.5344827586206895,32.30434782608695,145.80175438596493,1.0729508196721311,1.2418333333333333,0.2826229508196721,0.28016393442622956,-8.173508771929821,57.055882352941175,1144099.7213114754,1757527.5901639345,1785751.8688524591
Wholesale,6992.56111111111,5682.185555555555,15.33888888888889,15.841772151898729,3.3678571428571433,25.58571428571429,1.105813953488372,1.0396739130434782,1.4084615384615384,1.7797826086956523,1.6958695652173916,-3.721333333333333,58.23583333333334,465921.14130434784,579866.3260869565,588662.6630434783
