ticker,filingdate,formtype,issuername,ownername,officertitle,isdirector,isofficer,istenpercentowner,transactiondate,securityadcode,transactioncode,sharesownedbeforetransaction,transactionshares,sharesownedfollowingtransaction,transactionpricepershare,transactionvalue,securitytitle,directorindirect,natureofownership,dateexercisable,priceexercisable,expirationdate,rownum
ABCL,2023-05-26,4,ABCELLERA BIOLOGICS INC,THERMOPYLAE HOLDINGS LTD,,N,N,Y,2023-05-26,NA,P,55859493,153000.0,56012493.0,6.521,997713.0,Common Shares,D,,,,,1
ABCL,2022-12-20,4,ABCELLERA BIOLOGICS INC,THERMOPYLAE HOLDINGS LTD,,N,N,Y,2022-12-16,NA,P,55774391,85102.0,55859493.0,10.097,859275.0,Common Shares,D,,,,,1
ABCL,2022-11-09,4,ABCELLERA BIOLOGICS INC,THERMOPYLAE HOLDINGS LTD,,N,N,Y,2022-10-31,ND,G,55844391,-70000.0,55774391.0,,,Common Shares,D,,,,,1
ABCL,2022-08-22,4,ABCELLERA BIOLOGICS INC,THERMOPYLAE HOLDINGS LTD,,N,N,Y,2022-08-19,NA,P,55644391,200000.0,55844391.0,11.462,2292400.0,Common Shares,D,,,,,1
ABCL,2022-06-15,4,ABCELLERA BIOLOGICS INC,THERMOPYLAE HOLDINGS LTD,,N,N,Y,2022-06-14,NA,P,55635218,9173.0,55644391.0,8.05,73843.0,Common Shares,D,,,,,2
ABCL,2022-06-15,4,ABCELLERA BIOLOGICS INC,THERMOPYLAE HOLDINGS LTD,,N,N,Y,2022-06-13,NA,P,55580303,54915.0,55635218.0,8.032,441077.0,Common Shares,D,,,,,1
ABCL,2022-06-08,4,ABCELLERA BIOLOGICS INC,THERMOPYLAE HOLDINGS LTD,,N,N,Y,2022-06-06,NA,P,55515758,64545.0,55580303.0,7.498,483958.0,Common Shares,D,,,,,1
ABCL,2022-05-17,4,ABCELLERA BIOLOGICS INC,THERMOPYLAE HOLDINGS LTD,,N,N,Y,2022-05-13,NA,P,55215758,300000.0,55515758.0,7.255,2176500.0,Common Shares,D,,,,,1
ABCL,2022-05-16,4,ABCELLERA BIOLOGICS INC,THERMOPYLAE HOLDINGS LTD,,N,N,Y,2022-05-12,NA,P,53807290,1408468.0,55215758.0,6.405,9021238.0,Common Shares,D,,,,,1
ABCL,2022-02-03,5,ABCELLERA BIOLOGICS INC,THERMOPYLAE HOLDINGS LTD,,N,N,Y,2021-12-07,ND,G,54557290,-750000.0,53807290.0,,,Common Shares,D,,,,,2
ABCL,2022-02-03,5,ABCELLERA BIOLOGICS INC,THERMOPYLAE HOLDINGS LTD,,N,N,Y,2021-05-24,ND,G,55807290,-1250000.0,54557290.0,,,Common Shares,D,,,,,1
ABCL,2022-12-05,4,ABCELLERA BIOLOGICS INC,STIMART TRYN,Chief Legal Officer,N,Y,N,2022-12-01,DA,A,2311480,346901.0,2658381.0,13.18,4572155.0,Share Options right to buy,D,,,13.18,2032-12-01,1
ABCL,2022-12-05,4,ABCELLERA BIOLOGICS INC,MONTALBANO JOHN S,,Y,N,N,2022-12-01,DA,A,579814,47231.0,627045.0,13.18,622505.0,Share option right to buy,D,,2024-06-15,13.18,2032-12-01,1
ABCL,2022-03-04,4,ABCELLERA BIOLOGICS INC,MONTALBANO JOHN S,,Y,N,N,,N,,5000,,5000.0,,,Common Shares,I,By Spouse,,,,2
ABCL,2022-03-04,4,ABCELLERA BIOLOGICS INC,MONTALBANO JOHN S,,Y,N,N,2022-03-04,NA,P,46000,10000.0,56000.0,8.54,85400.0,Common Shares,D,,,,,1
ABCL,2022-03-03,4,ABCELLERA BIOLOGICS INC,MONTALBANO JOHN S,,Y,N,N,,N,,5000,,5000.0,,,Common Shares,I,By Spouse,,,,2
ABCL,2022-03-03,4,ABCELLERA BIOLOGICS INC,MONTALBANO JOHN S,,Y,N,N,2022-03-01,NA,P,26000,20000.0,46000.0,9.05,181000.0,Common Shares,D,,,,,1
ABCL,2022-12-05,4,ABCELLERA BIOLOGICS INC,LO ANDREW,,Y,N,N,2022-12-01,DA,A,91325,47231.0,138556.0,13.18,622505.0,Share Option right to buy,D,,2024-06-15,13.18,2032-12-01,1
ABCL,2023-05-09,4,ABCELLERA BIOLOGICS INC,LECAULT VERONIQUE,Chief Operating Officer,Y,Y,N,2023-05-05,DD,M,3392689,-250000.0,3142689.0,0.19,47500.0,Share option right to buy,D,,,0.19,2027-03-23,5
ABCL,2023-05-09,4,ABCELLERA BIOLOGICS INC,LECAULT VERONIQUE,Chief Operating Officer,Y,Y,N,,N,,61580,,61580.0,,,Common Shares,I,By spouse,,,,4
ABCL,2023-05-09,4,ABCELLERA BIOLOGICS INC,LECAULT VERONIQUE,Chief Operating Officer,Y,Y,N,,N,,273630,,273630.0,,,Common Shares,I,See Footnote,,,,3
ABCL,2023-05-09,4,ABCELLERA BIOLOGICS INC,LECAULT VERONIQUE,Chief Operating Officer,Y,Y,N,,N,,7155008,,7155008.0,,,Common Shares,I,See Footnote,,,,2
ABCL,2023-05-09,4,ABCELLERA BIOLOGICS INC,LECAULT VERONIQUE,Chief Operating Officer,Y,Y,N,2023-05-05,NA,M,1770122,250000.0,2020122.0,0.19,47500.0,Common Shares,D,,,,,1
ABCL,2022-12-05,4,ABCELLERA BIOLOGICS INC,LECAULT VERONIQUE,Chief Operating Officer,Y,Y,N,2022-12-01,DA,A,2930154,462535.0,3392689.0,13.18,6096211.0,Share Options right to buy,D,,,13.18,2032-12-01,1
ABCL,2022-05-17,4,ABCELLERA BIOLOGICS INC,LECAULT VERONIQUE,Chief Operating Officer,Y,Y,N,,N,,61580,,61580.0,,,Common Shares,I,By spouse,,,,4
ABCL,2022-05-17,4,ABCELLERA BIOLOGICS INC,LECAULT VERONIQUE,Chief Operating Officer,Y,Y,N,,N,,273630,,273630.0,,,Common Shares,I,See Footnote,,,,3
ABCL,2022-05-17,4,ABCELLERA BIOLOGICS INC,LECAULT VERONIQUE,Chief Operating Officer,Y,Y,N,,N,,7155008,,7155008.0,,,Common Shares,I,See Footnote,,,,2
ABCL,2022-05-17,4,ABCELLERA BIOLOGICS INC,LECAULT VERONIQUE,Chief Operating Officer,Y,Y,N,2022-05-16,NA,P,1570122,200000.0,1770122.0,6.339,1267800.0,Common Shares,D,,,,,1
ABCL,2022-03-01,4,ABCELLERA BIOLOGICS INC,LECAULT VERONIQUE,Chief Operating Officer,Y,Y,N,,N,,61580,,61580.0,,,Common Shares,I,By spouse,,,,4
ABCL,2022-03-01,4,ABCELLERA BIOLOGICS INC,LECAULT VERONIQUE,Chief Operating Officer,Y,Y,N,,N,,273630,,273630.0,,,Common Shares,I,See Footnote,,,,3
ABCL,2022-03-01,4,ABCELLERA BIOLOGICS INC,LECAULT VERONIQUE,Chief Operating Officer,Y,Y,N,,N,,7155008,,7155008.0,,,Common Shares,I,See Footnote,,,,2
ABCL,2022-03-01,4,ABCELLERA BIOLOGICS INC,LECAULT VERONIQUE,Chief Operating Officer,Y,Y,N,2022-02-28,NA,P,1339333,230789.0,1570122.0,8.66,1998633.0,Common Shares,D,,,,,1
ABCL,2022-02-03,5,ABCELLERA BIOLOGICS INC,LECAULT VERONIQUE,Chief Operating Officer,Y,Y,N,,N,,61580,,61580.0,,,Common Shares,I,By spouse,,,,5
ABCL,2022-02-03,5,ABCELLERA BIOLOGICS INC,LECAULT VERONIQUE,Chief Operating Officer,Y,Y,N,,N,,273630,,273630.0,,,Common Shares,I,See Footnote,,,,4
ABCL,2022-02-03,5,ABCELLERA BIOLOGICS INC,LECAULT VERONIQUE,Chief Operating Officer,Y,Y,N,,N,,7155008,,7155008.0,,,Common Shares,I,See Footnote,,,,3
ABCL,2022-02-03,5,ABCELLERA BIOLOGICS INC,LECAULT VERONIQUE,Chief Operating Officer,Y,Y,N,2021-12-08,ND,G,1589333,-250000.0,1339333.0,,,Common Shares,D,,,,,2
