,Date,Value_us,Value_china
0,1960-01-01,543300000000.0,59716467625.3148
1,1961-01-01,563300000000.0,50056868957.6732
2,1962-01-01,605100000000.0,47209359005.6057
3,1963-01-01,638600000000.0,50706799902.5104
4,1964-01-01,685800000000.0,59708343488.5043
5,1965-01-01,743700000000.0,70436266146.7219
6,1966-01-01,815000000000.0,76720285969.6157
7,1967-01-01,861700000000.0,72881631326.6715
8,1968-01-01,942500000000.0,70846535055.6503
9,1969-01-01,1019900000000.0,79705906247.4612
10,1970-01-01,1073303000000.0,92602973434.0726
11,1971-01-01,1164850000000.0,99800958648.1436
12,1972-01-01,1279110000000.0,113687586299.051
13,1973-01-01,1425376000000.0,138544284708.957
14,1974-01-01,1545243000000.0,144182133387.722
15,1975-01-01,1684904000000.0,163431551779.761
16,1976-01-01,1873412000000.0,153940455341.506
17,1977-01-01,2081826000000.0,174938098826.569
18,1978-01-01,2351599000000.0,149540752829.268
19,1979-01-01,2627333000000.0,178280594413.043
20,1980-01-01,2857307000000.0,191149211575.0
21,1981-01-01,3207041000000.0,195866382432.54
22,1982-01-01,3343789000000.0,205089699858.779
23,1983-01-01,3634038000000.0,230686747153.257
24,1984-01-01,4037613000000.0,259946510957.143
25,1985-01-01,4338979000000.0,309488028132.653
26,1986-01-01,4579631000000.0,300758100107.246
27,1987-01-01,4855215000000.0,272972974764.574
28,1988-01-01,5236438000000.0,312353631207.819
29,1989-01-01,5641580000000.0,347768051311.741
30,1990-01-01,5963144000000.0,360857912565.966
31,1991-01-01,6158129000000.0,383373318083.624
32,1992-01-01,6520327000000.0,426915712715.856
33,1993-01-01,6858559000000.0,444731282435.515
34,1994-01-01,7287236000000.0,564324670008.238
35,1995-01-01,7639749000000.0,734547898224.101
36,1996-01-01,8073122000000.0,863746717507.397
37,1997-01-01,8577554457000.0,961603952954.233
38,1998-01-01,9062818202000.0,1029043097558.91
39,1999-01-01,9630664202000.0,1093997267277.1
40,2000-01-01,10252345464000.0,1211346869600.41
41,2001-01-01,10581821399000.0,1339395718862.89
42,2002-01-01,10936419054000.0,1470550015077.93
43,2003-01-01,11458243878000.0,1660287965663.89
44,2004-01-01,12213729147000.0,1955347004965.69
45,2005-01-01,13036640230000.0,2285965892364.2
46,2006-01-01,13814611414000.0,2752131773358.92
47,2007-01-01,14451858656000.0,3550342737009.53
48,2008-01-01,14712844084000.0,4594307032667.98
49,2009-01-01,14448933025000.0,5101703073088.97
50,2010-01-01,14992052727000.0,6087163874510.73
51,2011-01-01,15542581104000.0,7551500124197.17
52,2012-01-01,16197007349000.0,8532229986993.65
53,2013-01-01,16784849196000.0,9570406235659.64
54,2014-01-01,17527163695000.0,10475682920597.7
55,2015-01-01,18238300569000.0,11061553079871.5
56,2016-01-01,18745075687000.0,11233276536744.7
57,2017-01-01,19542979183000.0,12310409370894.2
58,2018-01-01,20611860934000.0,13894817549380.3
59,2019-01-01,21433224697000.0,14279937467431.0
60,2020-01-01,20953030000000.0,14722730697890.1
