ticker,investorname,securitytype,calendardate,value,units,price
AAPL,ZWJ INVESTMENT COUNSEL INC,SHR,2023-06-30,57408866.0,295968.0,193.0
AAPL,ZWJ INVESTMENT COUNSEL INC,SHR,2023-03-31,49176990.0,298223.0,164.0
AAPL,ZWJ INVESTMENT COUNSEL INC,SHR,2022-12-31,39266110.0,302210.0,129.0
AAPL,ZWJ INVESTMENT COUNSEL INC,SHR,2022-09-30,41866000.0,302939.0,138.0
AAPL,ZWJ INVESTMENT COUNSEL INC,SHR,2022-06-30,42525000.0,311035.0,136.0
AAPL,ZWJ INVESTMENT COUNSEL INC,SHR,2022-03-31,54752000.0,313567.0,174.0
AAPL,ZWJ INVESTMENT COUNSEL INC,SHR,2021-12-31,64156000.0,361301.0,177.0
AAPL,ZWJ INVESTMENT COUNSEL INC,SHR,2021-09-30,52141000.0,368488.0,141.0
AAPL,ZWJ INVESTMENT COUNSEL INC,SHR,2021-06-30,49030000.0,357986.0,136.0
AAPL,ZWJ INVESTMENT COUNSEL INC,SHR,2021-03-31,45302000.0,370871.0,122.0
AAPL,ZWJ INVESTMENT COUNSEL INC,SHR,2020-12-31,55088000.0,415166.0,132.0
AAPL,ZWJ INVESTMENT COUNSEL INC,SHR,2020-09-30,45822000.0,395664.0,115.0
AAPL,ZWJ INVESTMENT COUNSEL INC,SHR,2020-06-30,39501000.0,108282.0,364.0
AAPL,ZWJ INVESTMENT COUNSEL INC,SHR,2020-03-31,27985000.0,110053.0,254.0
AAPL,ZWJ INVESTMENT COUNSEL INC,SHR,2019-12-31,37574000.0,127954.0,293.0
AAPL,ZWJ INVESTMENT COUNSEL INC,SHR,2019-09-30,29257000.0,130630.0,223.0
AAPL,ZWJ INVESTMENT COUNSEL INC,SHR,2019-06-30,26109000.0,131915.0,197.0
AAPL,ZWJ INVESTMENT COUNSEL INC,SHR,2019-03-31,24930000.0,131243.0,189.0
AAPL,ZWJ INVESTMENT COUNSEL INC,SHR,2018-12-31,16835000.0,106727.0,157.0
AAPL,ZWJ INVESTMENT COUNSEL INC,SHR,2018-09-30,24045000.0,106516.0,225.0
AAPL,ZWJ INVESTMENT COUNSEL INC,SHR,2018-06-30,20133000.0,108763.0,185.0
AAPL,ZWJ INVESTMENT COUNSEL INC,SHR,2018-03-31,18727000.0,111617.0,167.0
AAPL,ZWJ INVESTMENT COUNSEL INC,SHR,2017-12-31,29687000.0,175426.0,169.0
AAPL,ZWJ INVESTMENT COUNSEL INC,SHR,2017-09-30,28085000.0,182226.0,154.0
AAPL,ZWJ INVESTMENT COUNSEL INC,SHR,2017-06-30,27764000.0,192779.0,144.0
AAPL,ZWJ INVESTMENT COUNSEL INC,SHR,2017-03-31,28696000.0,199752.0,143.0
AAPL,ZWJ INVESTMENT COUNSEL INC,SHR,2016-12-31,24776000.0,213918.0,115.0
AAPL,ZWJ INVESTMENT COUNSEL INC,SHR,2015-12-31,14077000.0,133743.0,105.0
AAPL,ZWJ INVESTMENT COUNSEL INC,SHR,2014-12-31,22561000.0,204397.0,110.0
AAPL,ZWJ INVESTMENT COUNSEL INC,SHR,2013-12-31,17249000.0,30745.0,561.0
AAPL,ZWJ INVESTMENT COUNSEL INC,SHR,2013-06-30,12092000.0,30494.0,396.0
AAPL,ZWEIGDIMENNA ASSOCIATES LLC,SHR,2023-06-30,3404174.0,17550.0,193.0
AAPL,ZWEIGDIMENNA ASSOCIATES LLC,SHR,2023-03-31,2935220.0,17800.0,164.0
AAPL,ZWEIGDIMENNA ASSOCIATES LLC,SHR,2022-12-31,9572203.0,73672.0,129.0
AAPL,ZWEIGDIMENNA ASSOCIATES LLC,SHR,2022-09-30,11622000.0,84097.0,138.0
AAPL,ZWEIGDIMENNA ASSOCIATES LLC,SHR,2022-06-30,11457000.0,83797.0,136.0
AAPL,ZWEIGDIMENNA ASSOCIATES LLC,SHR,2022-03-31,17082000.0,97827.0,174.0
AAPL,ZWEIGDIMENNA ASSOCIATES LLC,SHR,2021-12-31,23444000.0,132028.0,177.0
AAPL,ZWEIGDIMENNA ASSOCIATES LLC,SHR,2021-09-30,18767000.0,132628.0,141.0
AAPL,ZWEIGDIMENNA ASSOCIATES LLC,SHR,2021-06-30,19951000.0,145672.0,136.0
AAPL,ZWEIGDIMENNA ASSOCIATES LLC,SHR,2021-03-31,14376000.0,117689.0,122.0
AAPL,ZWEIGDIMENNA ASSOCIATES LLC,SHR,2020-12-31,29998000.0,226076.0,132.0
AAPL,ZWEIGDIMENNA ASSOCIATES LLC,SHR,2020-09-30,39042000.0,337117.0,115.0
AAPL,ZWEIGDIMENNA ASSOCIATES LLC,SHR,2020-06-30,17301000.0,47427.0,364.0
AAPL,ZWEIGDIMENNA ASSOCIATES LLC,SHR,2020-03-31,12282000.0,48300.0,254.0
AAPL,ZWEIGDIMENNA ASSOCIATES LLC,SHR,2019-12-31,6977000.0,23760.0,293.0
AAPL,ZWEIGDIMENNA ASSOCIATES LLC,SHR,2019-03-31,8173000.0,43029.0,189.0
AAPL,ZWEIGDIMENNA ASSOCIATES LLC,SHR,2018-12-31,10169000.0,64468.0,157.0
AAPL,ZWEIGDIMENNA ASSOCIATES LLC,SHR,2018-09-30,14237000.0,63068.0,225.0
AAPL,ZWEIGDIMENNA ASSOCIATES LLC,SHR,2018-06-30,11397000.0,61568.0,185.0
AAPL,ZWEIGDIMENNA ASSOCIATES LLC,SHR,2018-03-31,9297000.0,55413.0,167.0
AAPL,ZWEIGDIMENNA ASSOCIATES LLC,SHR,2017-12-31,11049000.0,65292.0,169.0
AAPL,ZWEIGDIMENNA ASSOCIATES LLC,SHR,2017-09-30,16636000.0,107945.0,154.0
AAPL,ZWEIGDIMENNA ASSOCIATES LLC,SHR,2017-06-30,18568000.0,128924.0,144.0
AAPL,ZWEIGDIMENNA ASSOCIATES LLC,SHR,2017-03-31,21198000.0,147560.0,143.0
AAPL,ZWEIGDIMENNA ASSOCIATES LLC,SHR,2016-12-31,10107000.0,87268.0,115.0
AAPL,ZWEIGDIMENNA ASSOCIATES LLC,SHR,2015-12-31,8986000.0,85367.0,105.0
AAPL,ZWEIGDIMENNA ASSOCIATES LLC,SHR,2014-12-31,35671000.0,323164.0,110.0
AAPL,ZWEIGDIMENNA ASSOCIATES LLC,CLL,2014-12-31,56294000.0,510000.0,110.0
AAPL,ZWEIGDIMENNA ASSOCIATES LLC,SHR,2013-12-31,61023000.0,108771.0,561.0
AAPL,ZWEIGDIMENNA ASSOCIATES LLC,SHR,2013-06-30,39169000.0,98779.0,396.0
AAPL,ZWEIG ADVISERS LLC,SHR,2015-12-31,9684000.0,92000.0,105.0
AAPL,ZWEIG ADVISERS LLC,SHR,2014-12-31,12473000.0,113000.0,110.0
AAPL,ZWEIG ADVISERS LLC,SHR,2013-12-31,18292000.0,32600.0,561.0
AAPL,ZWEIG ADVISERS LLC,SHR,2013-06-30,22854000.0,57700.0,396.0
AAPL,ZURICH INSURANCE GROUP LTD,SHR,2023-06-30,712485367.0,3673173.0,193.0
AAPL,ZURICH INSURANCE GROUP LTD,SHR,2023-03-31,545836809.0,3310108.0,164.0
AAPL,ZURICH INSURANCE GROUP LTD,SHR,2022-12-31,369886933.0,2846817.0,129.0
AAPL,ZURICH INSURANCE GROUP LTD,SHR,2022-09-30,443113000.0,3206320.0,138.0
