calendardate,ticker,name,shrholders,cllholders,putholders,wntholders,dbtholders,prfholders,fndholders,undholders,shrunits,cllunits,putunits,wntunits,dbtunits,prfunits,fndunits,undunits,shrvalue,cllvalue,putvalue,wntvalue,dbtvalue,prfvalue,fndvalue,undvalue,totalvalue,percentoftotal
2023-06-30,AAPL,APPLE INC,4403,116,154,0,2,0,0,0,9155723911.0,283243397.0,234001968.0,0.0,15.0,0.0,0.0,0.0,1779860015021.0,57920039406.0,49360466976.0,0.0,12250.0,0.0,0.0,0.0,1887140533653.0,4.028
2023-03-31,AAPL,APPLE INC,4355,127,154,0,1,0,0,0,9127284395.0,223330598.0,226445764.0,0.0,2.0,0.0,0.0,0.0,1500866160663.0,40205617601.0,41815697698.0,0.0,2000.0,0.0,0.0,0.0,1582887477962.0,3.503
2022-12-31,AAPL,APPLE INC,4410,131,166,0,1,0,0,0,9342433247.0,238737836.0,238142245.0,0.0,5000.0,0.0,0.0,0.0,1222487920707.0,30628080516.0,31062231491.0,0.0,4868.0,0.0,0.0,0.0,1284178237582.0,3.155
2022-09-30,AAPL,APPLE INC,4229,126,155,0,2,0,0,0,9213302459.0,224405695.0,261013618.0,0.0,26054.0,0.0,0.0,0.0,1280646701762.0,30779078128.0,36653096769.0,0.0,77000.0,0.0,0.0,0.0,1348078953659.0,3.674
2022-06-30,AAPL,APPLE INC,4227,131,153,0,1,0,0,0,9361377662.0,191915310.0,235444600.0,0.0,54.0,0.0,0.0,0.0,1290752330066.0,26680387894.0,33636357629.0,0.0,53000.0,0.0,0.0,0.0,1351069128589.0,3.478
2022-03-31,AAPL,APPLE INC,4277,130,139,0,1,0,0,0,9452529202.0,207596022.0,248102995.0,0.0,9.0,0.0,0.0,0.0,1651704518167.0,35880002170.0,43208868656.0,0.0,9000.0,0.0,0.0,0.0,1730793397993.0,3.709
2021-12-31,AAPL,APPLE INC,4295,141,125,0,1,0,0,0,9484009735.0,227010652.0,305404615.0,0.0,575000.0,0.0,0.0,0.0,1682549115188.0,39325490083.0,52612261747.0,0.0,597000.0,0.0,0.0,0.0,1774487464018.0,3.561
2021-09-30,AAPL,APPLE INC,3774,146,126,0,1,0,0,0,9423685198.0,236472139.0,311693765.0,0.0,575000.0,0.0,0.0,0.0,1335918934657.0,33089154519.0,42410907540.0,0.0,603000.0,0.0,0.0,0.0,1411419599716.0,3.056
2021-06-30,AAPL,APPLE INC,3794,154,120,0,1,0,0,0,9491681238.0,244116066.0,295296339.0,0.0,575000.0,0.0,0.0,0.0,1302471334445.0,32986676560.0,38952785330.0,0.0,607000.0,0.0,0.0,0.0,1374411403335.0,2.979
2021-03-31,AAPL,APPLE INC,3775,146,116,0,2,0,0,0,9560112751.0,247359846.0,308281513.0,0.0,1095000.0,0.0,0.0,0.0,1168304378689.0,31202978566.0,37257978364.0,0.0,1176000.0,0.0,0.0,0.0,1236766511619.0,2.909
