calendardate,ticker,grossmargin,netmargin,ebitdamargin,evebitda,sps,pe1,ps1,pb,divyield,ros,roic,roa,roe,assetturnover,payoutratio,ev,marketcap
2023-06-30,YJ,0.516,-0.249,,,1.174,-1.634,0.258,0.19,0.0,,,,,,0.0,-17193161.0,33931155.0
2023-03-31,YJ,0.477,-0.128,,,1.312,-4.467,0.537,0.42,0.0,,,,,,0.0,12862981.0,79156430.0
2022-12-31,YJ,0.409,-0.132,,-9.457,2.042,-8.131,1.03,0.869,0.0,,,,,,0.0,120120850.0,168926274.0
2022-09-30,YJ,0.494,-0.16,,,1.604,-29.376,0.909,0.871,0.0,,,,,,0.0,128394422.0,172132679.0
2022-06-30,YJ,0.406,-0.089,,,2.009,23.227,0.957,1.043,0.0,,,,,,0.0,171006794.0,223344313.0
2022-03-31,YJ,0.442,-0.107,,,2.493,13.056,0.769,0.97,0.0,,,,,,0.0,119947413.0,218524873.0
2021-12-31,YJ,0.396,0.123,,-0.155,3.438,6.668,0.397,0.58,0.0,,,,,,0.0,-3201827.0,133870516.0
2021-09-30,YJ,0.432,0.139,,,3.17,,0.328,0.694,0.0,,,,,,0.0,25953878.0,153056810.0
2021-06-30,YJ,0.351,0.03,,,4.101,-22.49,0.661,1.788,0.0,,,,,,0.0,204114616.0,369322585.0
2021-03-31,YJ,0.349,-0.006,,,4.815,-20.179,0.662,2.253,0.0,,,,,,,278798005.0,458652064.0
2020-12-31,YJ,0.257,-0.059,,-25.145,9.532,-17.284,0.465,1.964,0.0,,,,,,0.0,237187232.0,393940031.0
2020-09-30,YJ,0.295,-0.04,,,7.37,62.652,0.4,1.878,0.0,,,,,,0.0,226464738.0,391810625.0
2020-06-30,YJ,0.291,-0.008,,,9.857,95.495,0.485,2.709,0.0,,,,,,0.0,428996014.0,572810099.0
2020-03-31,YJ,0.304,-0.008,,,11.091,-10.248,0.548,3.787,0.0,,,,,,0.0,625690303.0,798471731.0
2019-12-31,YJ,0.243,-0.002,,-25.764,16.283,-3.523,0.499,4.81,0.0,,,,,,0.0,826399044.0,999180472.0
2019-09-30,YJ,0.178,-0.019,,,18.093,-2.637,0.769,6.815,0.0,,,,,,0.0,1292526407.0,1498770709.0
2019-06-30,YJ,0.222,-0.163,,,24.619,-3.898,1.005,10.99,0.0,,,,,,0.0,2307954176.0,2465226930.0
2019-03-31,YJ,0.193,-0.325,,,43.787,,,,,,,,,,0.0,,
2018-12-31,YJ,0.181,-0.154,,,56.138,,,,,,,,,,0.0,,
2018-09-30,YJ,0.168,-0.065,,,39.102,,,,,,,,,,0.0,,
2018-06-30,YJ,0.197,0.027,,,42.841,,,,,,,,,,0.0,,
2018-03-31,YJ,0.155,-0.471,,,28.963,,,,,,,,,,0.0,,
2017-12-31,YJ,,,,,,,,,,,,,,,,,
2016-12-31,YJ,,,,,,,,,,,,,,,,,
2023-03-31,WTER,0.053,-0.602,-0.546,-1.194,1.268,-0.804,0.345,-4.443,0.0,,,,,,0.0,28118627.0,23711087.0
2022-12-31,WTER,0.247,-0.251,-0.212,-1.151,1.633,-0.701,0.378,22.175,0.0,,,,,,0.0,31008654.0,25475708.0
2022-09-30,WTER,0.236,-0.429,-0.371,-1.614,2.134,-1.055,0.717,14.739,0.0,,,,,,0.0,54924812.0,47816347.0
2022-06-30,WTER,0.207,-0.444,-0.361,-1.261,2.156,-1.064,0.765,68.656,0.0,,,,,,0.0,46405888.0,42935389.0
2022-03-31,WTER,-0.05,-0.732,-0.678,-2.747,2.08,-2.304,1.665,250.563,0.0,,,,,,0.0,103980824.0,100510325.0
2021-12-31,WTER,0.227,-0.82,-0.796,-3.778,1.861,-3.371,2.252,15.518,0.0,,,,,,0.0,120423599.0,123113380.0
2021-09-30,WTER,0.339,-0.68,-0.659,-5.983,2.443,-5.129,2.873,10.215,0.0,,,,,,0.0,151793212.0,150392538.0
2021-06-30,WTER,0.34,-0.526,-0.507,-6.296,2.396,-5.884,2.891,16.484,0.0,,,,,,0.0,122020358.0,118815101.0
2021-03-31,WTER,0.358,-0.363,-0.33,-5.923,2.437,-4.541,1.644,7.685,0.0,,,,,,0.0,87851310.0,84646053.0
2020-12-31,WTER,0.349,-0.453,-0.409,-5.339,1.962,-4.04,1.744,40.831,0.0,,,,,,0.0,75594230.0,74299622.0
2020-09-30,WTER,0.359,-0.429,-0.399,-6.293,2.245,-4.846,2.065,14.208,0.0,,,,,,0.0,80099771.0,81049645.0
2020-06-30,WTER,0.36,-0.225,-0.194,-5.689,3.52,-5.296,1.962,13.114,0.0,,,,,,0.0,63985556.0,65187397.0
2020-03-31,WTER,0.119,-0.425,-0.381,-1.958,3.091,-1.765,0.672,16.861,0.0,,,,,,0.0,26149514.0,27351355.0
2019-12-31,WTER,0.401,-0.338,-0.296,-4.309,2.971,-3.735,1.464,12.486,0.0,,,,,,0.0,52716091.0,55480702.0
2019-09-30,WTER,0.429,-0.28,-0.246,-4.125,3.729,-3.868,1.702,8.51,0.0,,,,,,0.0,54600452.0,60780843.0
2019-06-30,WTER,0.406,-0.498,-0.464,-6.622,3.728,-6.411,2.583,8.801,0.0,,,,,,0.0,75213740.0,75551887.0
2019-03-31,WTER,0.38,-0.355,-0.307,-11.025,3.382,-8.851,2.37,7.293,0.0,,,,,,0.0,82491674.0,82829821.0
2018-12-31,WTER,0.373,-0.488,-0.455,-16.794,3.516,-14.045,3.359,30.649,0.0,,,,,,0.0,99622707.0,101372536.0
2018-09-30,WTER,0.423,-0.108,-0.081,,4.163,,,,,,,,,,0.0,,
2018-06-30,WTER,0.43,-0.138,-0.106,,4.261,,,,,,,,,,0.0,,
2018-03-31,WTER,0.349,-0.193,-0.151,,3.846,,,,,,,,,,0.0,,
2017-12-31,WTER,0.452,-0.696,-0.646,,2.662,,,,,,,,,,0.0,,
2017-09-30,WTER,0.431,-0.229,-0.183,,3.672,,,,,,,,,,0.0,,
2017-06-30,WTER,0.43,-0.342,-0.3,,4.324,,,,,,,,,,0.0,,
2017-03-31,WTER,0.479,-0.174,-0.132,,3.59,,,,,,,,,,0.0,,
2016-12-31,WTER,0.44,-0.168,-0.109,,2.858,,,,,,,,,,0.0,,
2016-09-30,WTER,0.37,-0.424,-0.361,,2.931,,,,,,,,,,0.0,,
