None,date,closeadj,log_returns
216,2023-01-03,376.601,
215,2023-01-04,379.509,0.007692040412743935
214,2023-01-05,375.177,-0.01148039735604864
213,2023-01-06,383.781,0.022674162784244244
212,2023-01-09,383.563,-0.0005681936807090369
211,2023-01-10,386.253,0.006988711455098527
210,2023-01-11,391.138,0.01256784372066694
209,2023-01-12,392.562,0.0036340476385034494
208,2023-01-13,394.085,0.0038721355396159783
207,2023-01-17,393.364,-0.0018312302167725687
206,2023-01-18,387.153,-0.01591542811686575
205,2023-01-19,384.335,-0.007305395632241415
204,2023-01-20,391.494,0.018455621537930626
203,2023-01-23,396.192,0.011928752595360597
202,2023-01-24,395.767,-0.0010732879878835831
201,2023-01-25,395.915,0.0003738874995872365
200,2023-01-26,400.266,0.010929784343474986
199,2023-01-27,401.186,0.002295834071407132
198,2023-01-30,396.152,-0.012627184173655432
197,2023-01-31,401.977,0.01459689706068181
196,2023-02-01,406.249,0.010571399050562839
195,2023-02-02,412.163,0.014452630073696243
194,2023-02-03,407.782,-0.010686184293927266
193,2023-02-06,405.29,-0.006129857634015596
192,2023-02-07,410.591,0.012994724953677823
191,2023-02-08,406.101,-0.010995688064993998
190,2023-02-09,402.58,-0.008708062264007542
189,2023-02-10,403.52,0.002332217903669056
188,2023-02-13,408.257,0.011670825283421947
187,2023-02-14,408.069,-0.00046060030753332013
186,2023-02-15,409.394,0.003241739773799971
185,2023-02-16,403.757,-0.01386480567836884
184,2023-02-17,402.748,-0.0025021556628351802
183,2023-02-21,394.669,-0.02026361726451271
182,2023-02-22,394.125,-0.0013793210553017894
181,2023-02-23,396.221,0.005304018528157001
180,2023-02-24,391.989,-0.010738358221132609
179,2023-02-27,393.324,0.0033999215242594746
178,2023-02-28,391.87,-0.0037035475613763818
177,2023-03-01,390.367,-0.0038428298574704023
176,2023-03-02,393.403,0.007747209474351404
175,2023-03-03,399.712,0.015909756031485315
174,2023-03-06,399.989,0.0006927589463511986
173,2023-03-07,393.858,-0.015446608485170992
172,2023-03-08,394.501,0.0016312368922829549
171,2023-03-09,387.222,-0.01862350316681371
170,2023-03-10,381.635,-0.014533517524386228
169,2023-03-13,381.091,-0.0014264626936647366
168,2023-03-14,387.39,0.016393745774572435
167,2023-03-15,384.968,-0.006271723576402024
166,2023-03-16,391.722,0.017392190577028066
