date,VCSH,HYG
2022-11-14,72.593,69.641
2022-11-15,72.836,70.253
2022-11-16,72.972,70.102
2022-11-17,72.836,69.801
2022-11-18,72.797,69.952
2022-11-21,72.768,69.923
2022-11-22,72.865,70.432
2022-11-23,73.011,70.828
2022-11-25,73.02,70.687
2022-11-28,72.982,69.942
2022-11-29,72.875,70.244
2022-11-30,73.273,71.299
2022-12-01,73.466,71.562
2022-12-02,73.564,71.505
2022-12-05,73.272,70.824
2022-12-06,73.311,70.568
2022-12-07,73.573,70.956
2022-12-08,73.437,71.013
2022-12-09,73.379,71.013
2022-12-12,73.34,71.288
2022-12-13,73.622,72.026
2022-12-14,73.641,71.619
2022-12-15,73.69,71.35
2022-12-16,73.709,70.97
2022-12-19,73.515,70.608
2022-12-20,73.379,70.427
2022-12-21,73.564,71.027
2022-12-22,73.544,70.589
2022-12-23,73.534,70.77
2022-12-27,73.28,70.037
2022-12-28,73.241,69.095
2022-12-29,73.378,69.99
2022-12-30,73.28,70.047
2023-01-03,73.358,70.18
2023-01-04,73.485,70.989
2023-01-05,73.339,70.846
2023-01-06,73.797,71.854
2023-01-09,73.885,72.111
2023-01-10,73.846,72.026
2023-01-11,73.992,72.501
2023-01-12,74.255,72.91
2023-01-13,74.138,72.91
2023-01-17,74.187,72.663
2023-01-18,74.489,72.749
2023-01-19,74.45,72.32
2023-01-20,74.382,72.463
2023-01-23,74.284,72.454
2023-01-24,74.372,72.501
2023-01-25,74.401,72.492
2023-01-26,74.372,72.672
2023-01-27,74.313,72.454
2023-01-30,74.216,72.054
2023-01-31,74.538,72.615
2023-02-01,74.735,73.374
2023-02-02,74.793,73.795
2023-02-03,74.442,73.021
2023-02-06,74.158,72.552
2023-02-07,74.178,72.811
2023-02-08,74.237,72.505
2023-02-09,74.08,72.036
2023-02-10,73.992,71.482
2023-02-13,73.983,71.663
2023-02-14,73.856,71.683
2023-02-15,73.778,71.568
2023-02-16,73.738,70.994
2023-02-17,73.826,71.272
2023-02-21,73.553,70.172
2023-02-22,73.563,70.631
2023-02-23,73.66,71.329
2023-02-24,73.436,70.899
2023-02-27,73.543,71.377
2023-02-28,73.533,71.243
2023-03-01,73.322,71.042
2023-03-02,73.391,71.129
2023-03-03,73.538,71.86
2023-03-06,73.508,71.86
2023-03-07,73.264,71.35
2023-03-08,73.185,71.013
2023-03-09,73.361,70.619
2023-03-10,73.704,70.629
2023-03-13,73.743,70.244
2023-03-14,73.724,70.754
2023-03-15,73.88,70.523
2023-03-16,73.665,70.984
2023-03-17,74.007,70.561
2023-03-20,73.949,70.369
2023-03-21,74.086,71.138
2023-03-22,74.477,71.206
2023-03-23,74.595,70.927
2023-03-24,74.693,70.782
2023-03-27,74.242,70.609
2023-03-28,74.154,70.571
2023-03-29,74.282,71.456
2023-03-30,74.316,71.879
2023-03-31,74.624,72.658
2023-04-03,74.919,72.602
2023-04-04,75.007,72.389
2023-04-05,75.036,71.983
2023-04-06,74.968,72.302
2023-04-10,74.801,72.235
2023-04-11,74.762,72.389
2023-04-12,74.85,72.37
2023-04-13,74.997,72.863
2023-04-14,74.83,72.727
2023-04-17,74.673,72.534
2023-04-18,74.693,72.582
2023-04-19,74.556,72.293
2023-04-20,74.771,72.225
2023-04-21,74.742,72.447
2023-04-24,74.87,72.65
2023-04-25,75.115,72.534
2023-04-26,75.017,72.254
2023-04-27,74.83,72.495
2023-04-28,75.017,72.805
2023-05-01,74.784,72.472
2023-05-02,75.0,72.404
2023-05-03,75.227,72.365
2023-05-04,75.256,72.152
2023-05-05,75.049,72.54
2023-05-08,74.887,72.336
2023-05-09,74.882,72.152
2023-05-10,75.177,72.589
2023-05-11,75.236,72.472
2023-05-12,75.049,72.21
2023-05-15,75.03,72.191
2023-05-16,74.892,71.686
2023-05-17,74.804,71.88
2023-05-18,74.636,71.919
2023-05-19,74.622,71.997
2023-05-22,74.617,72.317
2023-05-23,74.666,71.938
2023-05-24,74.518,71.434
2023-05-25,74.341,71.385
2023-05-26,74.351,71.822
2023-05-30,74.666,72.133
2023-05-31,74.715,71.909
2023-06-01,74.858,72.339
2023-06-02,74.68,72.71
