,VCSH,HYG,rolling_hedge_ratio,calculated_spread,rolling_mean_spread,rolling_std_spread,z_score,trading_signal,symbol_one_position,symbol_two_position,portfolio_value,current_hedge_ratio,returns
0,77.517,73.641,,,,,,0,0.0,0.0,100000.0,1.0,
1,77.563,74.055,,,,,,0,0.0,0.0,100000.0,1.0,0.0
2,77.591,74.081,,,,,,0,0.0,0.0,100000.0,1.0,0.0
3,77.563,73.943,,,,,,0,0.0,0.0,100000.0,1.0,0.0
4,77.648,74.193,,,,,,0,0.0,0.0,100000.0,1.0,0.0
5,77.62,74.055,,,,,,0,0.0,0.0,100000.0,1.0,0.0
6,77.62,74.167,,,,,,0,0.0,0.0,100000.0,1.0,0.0
7,77.685,74.391,,,,,,0,0.0,0.0,100000.0,1.0,0.0
8,77.713,74.357,,,,,,0,0.0,0.0,100000.0,1.0,0.0
9,77.741,74.478,,,,,,0,0.0,0.0,100000.0,1.0,0.0
10,77.816,74.4,,,,,,0,0.0,0.0,100000.0,1.0,0.0
11,77.768,74.591,,,,,,0,0.0,0.0,100000.0,1.0,0.0
12,77.768,74.798,,,,,,0,0.0,0.0,100000.0,1.0,0.0
13,77.806,74.842,,,,,,0,0.0,0.0,100000.0,1.0,0.0
14,77.768,75.153,,,,,,0,0.0,0.0,100000.0,1.0,0.0
15,77.834,75.119,,,,,,0,0.0,0.0,100000.0,1.0,0.0
16,77.796,75.058,,,,,,0,0.0,0.0,100000.0,1.0,0.0
17,77.731,74.946,,,,,,0,0.0,0.0,100000.0,1.0,0.0
18,77.759,75.084,,,,,,0,0.0,0.0,100000.0,1.0,0.0
19,77.834,75.006,,,,,,0,0.0,0.0,100000.0,1.0,0.0
20,77.825,75.023,,,,,,0,0.0,0.0,100000.0,1.0,0.0
21,77.881,75.257,,,,,,0,0.0,0.0,100000.0,1.0,0.0
22,77.9,75.145,,,,,,0,0.0,0.0,100000.0,1.0,0.0
23,77.937,75.256,,,,,,0,0.0,0.0,100000.0,1.0,0.0
24,77.937,75.317,,,,,,0,0.0,0.0,100000.0,1.0,0.0
25,77.881,75.048,,,,,,0,0.0,0.0,100000.0,1.0,0.0
26,77.937,75.143,,,,,,0,0.0,0.0,100000.0,1.0,0.0
27,77.975,75.482,,,,,,0,0.0,0.0,100000.0,1.0,0.0
28,78.013,75.639,,,,,,0,0.0,0.0,100000.0,1.0,0.0
29,78.041,75.734,,,,,,0,0.0,0.0,100000.0,1.0,0.0
30,78.088,75.639,,,,,,0,0.0,0.0,100000.0,1.0,0.0
31,78.135,75.795,,,,,,0,0.0,0.0,100000.0,1.0,0.0
32,78.135,75.856,,,,,,0,0.0,0.0,100000.0,1.0,0.0
33,78.126,75.7,,,,,,0,0.0,0.0,100000.0,1.0,0.0
34,78.088,75.726,,,,,,0,0.0,0.0,100000.0,1.0,0.0
35,78.013,75.587,,,,,,0,0.0,0.0,100000.0,1.0,0.0
36,77.994,75.804,,,,,,0,0.0,0.0,100000.0,1.0,0.0
37,77.966,75.917,,,,,,0,0.0,0.0,100000.0,1.0,0.0
38,77.919,75.508,,,,,,0,0.0,0.0,100000.0,1.0,0.0
39,77.966,75.604,,,,,,0,0.0,0.0,100000.0,1.0,0.0
40,78.041,75.83,,,,,,0,0.0,0.0,100000.0,1.0,0.0
41,78.003,75.812,,,,,,0,0.0,0.0,100000.0,1.0,0.0
42,78.003,75.691,,,,,,0,0.0,0.0,100000.0,1.0,0.0
43,78.022,75.908,,,,,,0,0.0,0.0,100000.0,1.0,0.0
44,78.032,76.047,,,,,,0,0.0,0.0,100000.0,1.0,0.0
45,78.041,76.004,,,,,,0,0.0,0.0,100000.0,1.0,0.0
46,78.022,75.856,,,,,,0,0.0,0.0,100000.0,1.0,0.0
47,78.013,75.873,,,,,,0,0.0,0.0,100000.0,1.0,0.0
48,78.032,75.76,,,,,,0,0.0,0.0,100000.0,1.0,0.0
49,77.994,75.543,,,,,,0,0.0,0.0,100000.0,1.0,0.0
50,78.003,75.769,,,,,,0,0.0,0.0,100000.0,1.0,0.0
51,78.003,75.569,,,,,,0,0.0,0.0,100000.0,1.0,0.0
52,78.102,75.811,,,,,,0,0.0,0.0,100000.0,1.0,0.0
53,78.083,75.994,,,,,,0,0.0,0.0,100000.0,1.0,0.0
54,78.055,76.055,,,,,,0,0.0,0.0,100000.0,1.0,0.0
55,78.083,76.212,,,,,,0,0.0,0.0,100000.0,1.0,0.0
56,78.111,76.325,,,,,,0,0.0,0.0,100000.0,1.0,0.0
57,78.139,76.552,,,,,,0,0.0,0.0,100000.0,1.0,0.0
58,78.13,76.413,,,,,,0,0.0,0.0,100000.0,1.0,0.0
59,78.149,76.395,3.895273535953343,-228.01673156121785,,,,0,0.0,0.0,100000.0,1.0,0.0
60,78.158,76.43,3.8827341159229425,-227.03673303230534,,,,0,0.0,0.0,100000.0,1.0,0.0
61,78.139,76.552,3.9496956149918128,-232.07326565984522,,,,0,0.0,0.0,100000.0,1.0,0.0
62,78.064,76.43,3.9976389299803636,-235.6416854299871,,,,0,0.0,0.0,100000.0,1.0,0.0
63,78.092,76.404,4.037133924377436,-238.86386242248273,,,,0,0.0,0.0,100000.0,1.0,0.0
64,78.102,76.299,4.040225825870511,-239.25071745213867,,,,0,0.0,0.0,100000.0,1.0,0.0
65,78.055,76.308,4.037983366494033,-238.87679167169176,,,,0,0.0,0.0,100000.0,1.0,0.0
66,77.97,76.073,4.035442551095276,-238.5704557088987,,,,0,0.0,0.0,100000.0,1.0,0.0
67,78.036,76.256,4.0440667030750195,-239.32678924116223,,,,0,0.0,0.0,100000.0,1.0,0.0
68,78.017,76.334,4.000479299883593,-235.77139353901828,,,,0,0.0,0.0,100000.0,1.0,0.0
69,77.641,75.61,3.448141683352591,-192.10716843717853,,,,0,0.0,0.0,100000.0,1.0,0.0
70,77.791,75.384,3.244341528533899,-176.99657184618053,,,,0,0.0,0.0,100000.0,1.0,0.0
71,77.875,76.227,3.034332090374968,-160.07161153795062,,,,0,0.0,0.0,100000.0,1.0,0.0
72,77.875,76.113,2.8696875198250966,-147.3639156063794,,,,0,0.0,0.0,100000.0,1.0,0.0
73,77.79,75.868,2.6314677584440043,-128.83387692935912,,,,0,0.0,0.0,100000.0,1.0,0.0
74,77.677,75.579,2.4093408609829696,-111.57137005857415,,,,0,0.0,0.0,100000.0,1.0,0.0
75,77.63,75.807,2.0576222291612676,-83.9262136497892,,,,0,0.0,0.0,100000.0,1.0,0.0
76,77.357,75.255,1.6710570700438434,-54.0129617673816,,,,0,0.0,0.0,100000.0,1.0,0.0
77,77.413,75.36,1.4321909735355443,-35.51019983430709,,,,0,0.0,0.0,100000.0,1.0,0.0
78,77.508,75.597,1.2670177936081888,-22.6070151469835,,,,0,0.0,0.0,100000.0,1.0,0.0
79,77.602,75.877,1.1244962234375067,-11.386155931197408,,,,0,0.0,0.0,100000.0,1.0,0.0
80,77.47,75.667,0.9940461895091258,-1.3417583012719803,,,,0,0.0,0.0,100000.0,1.0,0.0
81,77.498,75.675,0.9220049777063197,4.221458237715623,,,,0,0.0,0.0,100000.0,1.0,0.0
82,77.517,75.5,0.9014707905195488,5.620688731296141,,,,0,0.0,0.0,100000.0,1.0,0.0
83,77.663,75.605,0.9004519498907011,5.673200215638488,,,,0,0.0,0.0,100000.0,1.0,0.0
84,77.498,75.028,0.9690368176016227,-0.07041529049055839,,,,0,0.0,0.0,100000.0,1.0,0.0
85,77.489,75.317,0.9735246060247693,-0.12044819625336345,,,,0,0.0,0.0,100000.0,1.0,0.0
86,77.508,75.588,0.9600444302341765,1.1768763014094503,,,,0,0.0,0.0,100000.0,1.0,0.0
87,77.573,75.667,0.9546158429824573,1.614585212321856,,,,0,0.0,0.0,100000.0,1.0,0.0
88,77.583,75.71,0.9500972998357256,1.998601186844894,-115.30142327889395,103.69093763097383,1.1312466368391658,0,0.0,0.0,100000.0,1.0,0.0
89,77.63,75.842,0.9427630375514707,2.655305394879335,-107.61235538035739,103.59701467219097,1.0643903313638283,0,0.0,0.0,100000.0,1.0,0.0
90,77.611,76.069,0.9285791196510951,4.001045944758857,-99.91109608112191,102.9988265006299,1.0088672420480953,0,0.0,0.0,100000.0,1.0,0.0
91,77.592,76.113,0.9086633079510034,5.607996609465744,-91.98838733881153,101.61427234717405,0.9604594088400367,0,0.0,0.0,100000.0,1.0,0.0
92,77.583,75.929,0.9018419623776203,5.961395032857084,-83.93495132338339,99.38613392137228,0.9045159803414881,0,0.0,0.0,100000.0,1.0,0.0
93,77.649,76.297,0.8954530722885614,6.765964389865488,-75.74729042963845,96.25093994145826,0.8572721977540183,0,0.0,0.0,100000.0,1.0,0.0
94,77.655,76.457,0.8767359400823641,8.374070572904003,-67.4931308288037,92.28183180478428,0.8221250046509635,0,0.0,0.0,100000.0,1.0,0.0
95,77.607,76.493,0.8422788111460296,11.126268303390077,-59.15969549630097,87.43222485286086,0.803890829931125,0,0.0,0.0,100000.0,1.0,0.0
96,77.739,76.624,0.8285249052357803,12.215302391875667,-50.80017022627516,81.47289456182479,0.7734532197126278,0,0.0,0.0,100000.0,1.0,0.0
97,77.749,76.598,0.8131539725738304,13.376091786357264,-42.37674085869118,74.0328039032637,0.7530828187717824,0,0.0,0.0,100000.0,1.0,0.0
98,77.824,76.624,0.8222326528980367,12.63456602086319,-34.09654220669513,64.99674449867376,0.7189761362357442,0,0.0,0.0,100000.0,1.0,0.0
99,77.786,76.572,0.8306804998227552,11.956686640787169,-27.29441370409627,58.21428915353898,0.6742519906299891,0,0.0,0.0,100000.0,1.0,0.0
100,77.758,76.493,0.8381724937419931,11.318383231610099,-21.017248534836586,51.25202376015692,0.6309142428749174,0,0.0,0.0,100000.0,1.0,0.0
101,77.843,76.545,0.8575999023087184,9.786850804582429,-15.355299790085486,44.26697025225403,0.5679663742830401,0,0.0,0.0,100000.0,1.0,0.0
102,77.834,76.51,0.883835117005959,7.717577502958193,-10.185916686440896,36.73379650797162,0.4873848034061452,0,0.0,0.0,100000.0,1.0,0.0
103,77.89,76.817,0.9163433005329558,5.4430203214880635,-5.710020111412658,29.182953260106473,0.3821765512727285,0,0.0,0.0,100000.0,1.0,0.0
104,77.815,76.659,0.9270829835944695,4.518037631596357,-1.8403731884069743,21.291459192444496,0.2986366863131524,0,0.0,0.0,100000.0,1.0,0.0
105,77.815,76.536,0.9442149741485594,3.0619117866298495,1.0592309928069943,14.598272055583331,0.13718615368980602,0,0.0,0.0,100000.0,1.0,0.0
106,77.881,76.405,0.9764676512166705,0.3567228555944837,2.8715538135728638,10.253995933164648,-0.24525375028135382,0,0.0,0.0,100000.0,1.0,0.0
107,77.9,76.659,1.0160456310350316,-2.4909546576289614,3.9721953194621347,7.354200483059491,-0.8788378821027598,0,0.0,0.0,100000.0,1.0,0.0
108,77.904,76.519,1.0660482456662184,-6.53042253038106,4.50808174001555,5.764573742695233,-1.9148864709007165,0,0.0,0.0,100000.0,1.0,0.0
109,77.937,76.721,1.1324434838628514,-11.53824780181904,4.503012010994828,5.779082769859574,-2.7757449497826894,1,-738.027061601681,651.712047548911,100000.0,1.1324434838628514,0.0
110,77.918,76.686,1.1855412327336434,-15.689001772140031,4.024770561965893,6.78545799606324,-2.9052972320429045,1,-738.027061601681,651.712047548911,100008.78740749379,1.1324434838628514,8.787021423757809e-05
111,77.881,76.58,1.247181092541111,-20.551710668194275,3.19899826510223,8.134088578959481,-2.919897995054132,1,-738.027061601681,651.712047548911,100050.5618832547,1.1324434838628514,0.0004176208361785391
112,77.937,76.73,1.3387665461234501,-27.609448305223324,2.091327030551581,9.87023781593001,-3.009124591490544,1,-738.027061601681,651.712047548911,99994.13459157206,1.1324434838628514,-0.0005641468549134737
113,77.947,76.817,1.4160975918141907,-33.56355898914073,0.7834350570589402,11.7918000159679,-2.9127863430255423,1,-738.027061601681,651.712047548911,99944.81591405133,1.1324434838628514,-0.0004933373751966108
