,VCSH,HYG,calculated_spread,rolling_mean_spread,rolling_std_spread,z_score,trading_signal,symbol_one_position,symbol_two_position,portfolio_value,returns
0,72.593,69.641,-41.74939334766805,,,,0,0.0,0.0,10000.0,
1,72.836,70.253,-41.510264913569486,,,,0,0.0,0.0,10000.0,0.0
2,72.972,70.102,-41.869950234403206,,,,0,0.0,0.0,10000.0,0.0
3,72.836,69.801,-41.962264913569484,,,,0,0.0,0.0,10000.0,0.0
4,72.797,69.952,-41.75142132891864,-41.768658947625774,0.16969013708988054,0.10158291461574281,0,0.0,0.0,10000.0,0.0
5,72.768,69.923,-41.73592225315262,-41.76596472872269,0.17017873269605271,0.1765348413055092,0,0.0,0.0,10000.0,0.0
6,72.865,70.432,-41.375763989335496,-41.7390645438759,0.22310273758579768,1.628400253944391,-1,108.93137270582248,-70.99045888232621,10000.0,0.0
7,73.011,70.828,-41.203793819054056,-41.60583326080606,0.3081112368112456,1.3048516046115477,-1,108.93137270582248,-70.99045888232621,9987.791758697651,-0.0012215699430794306
8,73.02,70.687,-41.35860387705041,-41.48510105350225,0.24542190850436166,0.51542740101211,-1,108.93137270582248,-70.99045888232621,9998.78179575441,0.0010997420978098684
9,72.982,69.942,-42.04529474328805,-41.54387573637613,0.3415207961966021,-1.468194653139874,0,0.0,0.0,10047.530295458922,0.00486359741147754
10,72.875,70.244,-41.579108498220336,-41.51251298538967,0.3263384704157004,-0.20406883915903276,0,0.0,0.0,10047.530295458922,0.0
11,73.273,71.299,-41.134819951836676,-41.46432417788991,0.3668542363543143,0.8981884176335101,0,0.0,0.0,10047.530295458922,0.0
12,73.466,71.562,-41.16796897331396,-41.45715920874189,0.3735042765531885,0.7742621800656923,0,0.0,0.0,10047.530295458922,0.0
13,73.564,71.505,-41.37534516038532,-41.46050746540887,0.37247352570492065,0.2286398875258896,0,0.0,0.0,10047.530295458922,0.0
14,73.272,70.824,-41.60828550094821,-41.373105616940904,0.22170525548837067,-1.0607772174333723,0,0.0,0.0,10047.530295458922,0.0
15,73.311,70.568,-41.92412908559906,-41.44210973441665,0.32939137663965384,-1.4633636013784697,0,0.0,0.0,10047.530295458922,0.0
16,73.573,70.956,-41.93815521838167,-41.602776787725645,0.3378458663382339,-0.9926965639421436,0,0.0,0.0,10047.530295458922,0.0
17,73.437,71.013,-41.67246989754794,-41.70367697257244,0.23529469563718264,0.1326297430547156,0,0.0,0.0,10047.530295458922,0.0
18,73.379,71.013,-41.58347174601592,-41.74530228969856,0.17279941959404604,0.9365224956358383,0,0.0,0.0,10047.530295458922,0.0
19,73.34,71.288,-41.248628161365076,-41.67337082178194,0.28349579653908435,1.4982326567170228,0,0.0,0.0,10047.530295458922,0.0
20,73.622,72.026,-40.94334331191736,-41.47721366704559,0.3870244753683272,1.3794227215737467,0,0.0,0.0,10047.530295458922,0.0
21,73.641,71.619,-41.379497878798546,-41.36548219912897,0.28888294993263663,-0.04851681164583975,0,0.0,0.0,10047.530295458922,0.0
