,time,timestamp,THETAUSDT,XRPUSDT,hedge_ratio,calculated_spread,rolling_mean_spread,rolling_std_spread,z_score,trading_signal
25400,2023-10-12 21:00:00,1697144400000,0.5850000000,0.4834000000,1.2000213809,-0.2186125078,-0.2100937407,0.0084812862,-1.0044192468,1
25401,2023-10-12 22:00:00,1697148000000,0.5850000000,0.4846000000,1.2004060624,-0.2176375465,-0.2102547988,0.0084823344,-0.8703674315,1
25402,2023-10-12 23:00:00,1697151600000,0.5830000000,0.4830000000,1.2007985577,-0.2170655592,-0.2104131575,0.0084718920,-0.7852321106,1
25403,2023-10-13 00:00:00,1697155200000,0.5840000000,0.4838000000,1.2011679828,-0.2176821020,-0.2105727966,0.0084689525,-0.8394550935,1
25404,2023-10-13 01:00:00,1697158800000,0.5820000000,0.4846000000,1.2014465277,-0.2146418791,-0.2106969409,0.0084436673,-0.4672067312,1
25405,2023-10-13 02:00:00,1697162400000,0.5840000000,0.4845000000,1.2017834382,-0.2173415279,-0.2108553166,0.0084300052,-0.7694196060,1
25406,2023-10-13 03:00:00,1697166000000,0.5800000000,0.4829000000,1.2021313011,-0.2143361546,-0.2110149397,0.0083542090,-0.3975498957,1
25407,2023-10-13 04:00:00,1697169600000,0.5830000000,0.4814000000,1.2023945782,-0.2195960391,-0.2111543283,0.0083895495,-1.0062174208,1
25408,2023-10-13 05:00:00,1697173200000,0.5810000000,0.4812000000,1.2026823039,-0.2175584185,-0.2113434830,0.0083348565,-0.7456559827,1
25409,2023-10-13 06:00:00,1697176800000,0.5820000000,0.4793000000,1.2029131453,-0.2207954506,-0.2115043026,0.0083732716,-1.1096197952,1
25410,2023-10-13 07:00:00,1697180400000,0.5840000000,0.4826000000,1.2031280874,-0.2200268031,-0.2116747059,0.0083855815,-0.9960069128,1
25411,2023-10-13 08:00:00,1697184000000,0.5820000000,0.4816000000,1.2033377515,-0.2187425714,-0.2118230667,0.0083886054,-0.8248694924,1
25412,2023-10-13 09:00:00,1697187600000,0.5830000000,0.4806000000,1.2035419931,-0.2210649820,-0.2119664587,0.0084329739,-1.0789222659,1
25413,2023-10-13 10:00:00,1697191200000,0.5840000000,0.4810000000,1.2038172650,-0.2220292828,-0.2121511684,0.0084655473,-1.1668606955,1
25414,2023-10-13 11:00:00,1697194800000,0.5850000000,0.4797000000,1.2041447811,-0.2247246970,-0.2123754378,0.0085228035,-1.4489667782,1
25415,2023-10-13 12:00:00,1697198400000,0.5870000000,0.4835000000,1.2045057249,-0.2235448605,-0.2126419442,0.0084840483,-1.2851077671,1
25416,2023-10-13 13:00:00,1697202000000,0.5860000000,0.4839000000,1.2047596428,-0.2220891507,-0.2128388217,0.0084909054,-1.0894396429,1
25417,2023-10-13 14:00:00,1697205600000,0.5830000000,0.4812000000,1.2050558023,-0.2213475328,-0.2130456693,0.0084635307,-0.9808983709,1
25418,2023-10-13 15:00:00,1697209200000,0.5810000000,0.4811000000,1.2053364584,-0.2192004823,-0.2132384988,0.0083985150,-0.7098854375,1
25419,2023-10-13 16:00:00,1697212800000,0.5820000000,0.4817000000,1.2057205485,-0.2200293592,-0.2134896980,0.0082493259,-0.7927509781,1
25420,2023-10-13 17:00:00,1697216400000,0.5800000000,0.4814000000,1.2061090026,-0.2181432215,-0.2137316944,0.0080512274,-0.5479322471,1
25421,2023-10-13 18:00:00,1697220000000,0.5800000000,0.4823000000,1.2063770638,-0.2173986970,-0.2139202350,0.0079295626,-0.4386700918,1
25422,2023-10-13 19:00:00,1697223600000,0.5790000000,0.4837000000,1.2065630395,-0.2148999999,-0.2140684299,0.0078170750,-0.1063786567,1
25423,2023-10-13 20:00:00,1697227200000,0.5860000000,0.4874000000,1.2067690971,-0.2197666909,-0.2142630902,0.0077321892,-0.7117778085,1
25424,2023-10-13 21:00:00,1697230800000,0.5840000000,0.4884000000,1.2068354644,-0.2163919112,-0.2143857649,0.0076746238,-0.2613999568,1
25425,2023-10-13 22:00:00,1697234400000,0.5820000000,0.4864000000,1.2068961141,-0.2160135384,-0.2144860773,0.0076343898,-0.2000763910,1
25426,2023-10-13 23:00:00,1697238000000,0.5820000000,0.4851000000,1.2070439953,-0.2173996053,-0.2146338344,0.0075565637,-0.3660090772,1
25427,2023-10-14 00:00:00,1697241600000,0.5850000000,0.4853000000,1.2072831267,-0.2209606291,-0.2148481639,0.0074514693,-0.8203033504,1
25428,2023-10-14 01:00:00,1697245200000,0.5850000000,0.4862000000,1.2074268995,-0.2201447362,-0.2150136161,0.0073974668,-0.6936320510,1
25429,2023-10-14 02:00:00,1697248800000,0.5840000000,0.4848000000,1.2075741675,-0.2204233138,-0.2151690226,0.0073587808,-0.7140165426,1
25430,2023-10-14 03:00:00,1697252400000,0.5870000000,0.4854000000,1.2078435666,-0.2236041736,-0.2153947901,0.0072945106,-1.1254193618,1
25431,2023-10-14 04:00:00,1697256000000,0.5870000000,0.4849000000,1.2080302322,-0.2242137463,-0.2155815007,0.0072980527,-1.1828149169,1
25432,2023-10-14 05:00:00,1697259600000,0.5880000000,0.4842000000,1.2082218666,-0.2262344576,-0.2157760442,0.0073412249,-1.4246142227,1
25433,2023-10-14 06:00:00,1697263200000,0.5870000000,0.4846000000,1.2085003177,-0.2247896865,-0.2160181248,0.0072660598,-1.2071964757,1
25434,2023-10-14 07:00:00,1697266800000,0.5880000000,0.4838000000,1.2088376641,-0.2269965465,-0.2162988697,0.0071844999,-1.4889939359,1
25435,2023-10-14 08:00:00,1697270400000,0.5880000000,0.4843000000,1.2091366300,-0.2266723384,-0.2165669796,0.0071050720,-1.4222739432,1
25436,2023-10-14 09:00:00,1697274000000,0.5890000000,0.4852000000,1.2093430670,-0.2271030665,-0.2167929340,0.0071060111,-1.4509029589,1
25437,2023-10-14 10:00:00,1697277600000,0.5900000000,0.4849000000,1.2095466857,-0.2287325446,-0.2170235329,0.0071458189,-1.6385821960,1
25438,2023-10-14 11:00:00,1697281200000,0.5890000000,0.4855000000,1.2097202667,-0.2270252371,-0.2172385791,0.0071458815,-1.3695522463,1
25439,2023-10-14 12:00:00,1697284800000,0.5910000000,0.4867000000,1.2099403732,-0.2283747606,-0.2174852949,0.0071341402,-1.5263879629,1
25440,2023-10-14 13:00:00,1697288400000,0.5900000000,0.4857000000,1.2102101914,-0.2283240129,-0.2177489105,0.0070809162,-1.4934652679,1
25441,2023-10-14 14:00:00,1697292000000,0.5890000000,0.4853000000,1.2105164838,-0.2276942090,-0.2180200209,0.0069771404,-1.3865548900,1
25442,2023-10-14 15:00:00,1697295600000,0.5910000000,0.4875000000,1.2108109058,-0.2280892453,-0.2182922518,0.0068742348,-1.4251758764,1
25443,2023-10-14 16:00:00,1697299200000,0.5920000000,0.4865000000,1.2111703945,-0.2305128736,-0.2186089913,0.0067564066,-1.7618658840,1
25444,2023-10-14 17:00:00,1697302800000,0.5910000000,0.4869000000,1.2114647314,-0.2290756563,-0.2188855690,0.0066565841,-1.5308282946,1
25445,2023-10-14 18:00:00,1697306400000,0.5910000000,0.4860000000,1.2117376783,-0.2301369678,-0.2191476416,0.0066192646,-1.6602035066,1
25446,2023-10-14 19:00:00,1697310000000,0.5910000000,0.4861000000,1.2119805607,-0.2301805114,-0.2194074257,0.0065775868,-1.6378477260,1
25447,2023-10-14 20:00:00,1697313600000,0.5900000000,0.4862000000,1.2121665170,-0.2289782450,-0.2196339055,0.0065440663,-1.4279102726,1
25448,2023-10-14 21:00:00,1697317200000,0.5910000000,0.4868000000,1.2123390516,-0.2296923795,-0.2198606538,0.0065270434,-1.5063061767,1
25449,2023-10-14 22:00:00,1697320800000,0.5900000000,0.4863000000,1.2125597771,-0.2291102685,-0.2201392489,0.0063651541,-1.4093955094,1
25450,2023-10-14 23:00:00,1697324400000,0.5890000000,0.4865000000,1.2127616062,-0.2278165861,-0.2204150489,0.0061355278,-1.2063407534,1
25451,2023-10-15 00:00:00,1697328000000,0.5880000000,0.4854000000,1.2129312298,-0.2278035631,-0.2206665983,0.0059542642,-1.1986308508,1
25452,2023-10-15 01:00:00,1697331600000,0.5920000000,0.4869000000,1.2130916555,-0.2312502601,-0.2209320693,0.0058743629,-1.7564782655,1
25453,2023-10-15 02:00:00,1697335200000,0.5940000000,0.4863000000,1.2133029880,-0.2344019749,-0.2212309098,0.0058524029,-2.2505396778,1
25454,2023-10-15 03:00:00,1697338800000,0.5920000000,0.4858000000,1.2133704391,-0.2325153000,-0.2214634272,0.0058713445,-1.8823410713,1
25455,2023-10-15 04:00:00,1697342400000,0.5910000000,0.4860000000,1.2134255972,-0.2311345280,-0.2216818997,0.0058529624,-1.6150160458,1
25456,2023-10-15 05:00:00,1697346000000,0.5920000000,0.4857000000,1.2135199931,-0.2327038359,-0.2219036272,0.0058801534,-1.8367222809,1
25457,2023-10-15 06:00:00,1697349600000,0.5950000000,0.4863000000,1.2136397241,-0.2358156359,-0.2221393118,0.0059986080,-2.2799162731,1
25458,2023-10-15 07:00:00,1697353200000,0.5950000000,0.4864000000,1.2137943515,-0.2358076391,-0.2223998892,0.0060663616,-2.2101797966,1
25459,2023-10-15 08:00:00,1697356800000,0.5990000000,0.4871000000,1.2140038173,-0.2400882865,-0.2226984337,0.0062528620,-2.7811029210,1
25460,2023-10-15 09:00:00,1697360400000,0.5970000000,0.4877000000,1.2141820503,-0.2371666840,-0.2229755283,0.0063234012,-2.2442282644,1
25461,2023-10-15 10:00:00,1697364000000,0.5950000000,0.4876000000,1.2142868839,-0.2349006959,-0.2232102777,0.0063611701,-1.8377779624,1
25462,2023-10-15 11:00:00,1697367600000,0.5940000000,0.4867000000,1.2143938269,-0.2346499332,-0.2234604792,0.0063534226,-1.7611694857,1
25463,2023-10-15 12:00:00,1697371200000,0.5930000000,0.4866000000,1.2144853107,-0.2335897892,-0.2237114447,0.0062915987,-1.5700849734,1
25464,2023-10-15 13:00:00,1697374800000,0.5920000000,0.4868000000,1.2146179817,-0.2322538452,-0.2239582297,0.0061741894,-1.3435958934,1
25465,2023-10-15 14:00:00,1697378400000,0.5910000000,0.4859000000,1.2147186223,-0.2319987058,-0.2241795316,0.0060921083,-1.2834923105,1
25466,2023-10-15 15:00:00,1697382000000,0.5950000000,0.4870000000,1.2148047046,-0.2358087992,-0.2244067636,0.0061320616,-1.8594131010,1
25467,2023-10-15 16:00:00,1697385600000,0.5970000000,0.4875000000,1.2149073874,-0.2377997103,-0.2246397177,0.0062296295,-2.1124839902,1
25468,2023-10-15 17:00:00,1697389200000,0.5980000000,0.4888000000,1.2149712505,-0.2377528078,-0.2248516815,0.0063406697,-2.0346630459,1
25469,2023-10-15 18:00:00,1697392800000,0.5990000000,0.4898000000,1.2150495979,-0.2380147091,-0.2250718682,0.0064425188,-2.0089721717,1
25470,2023-10-15 19:00:00,1697396400000,0.5970000000,0.4879000000,1.2151195248,-0.2375263563,-0.2252705725,0.0065419914,-1.8734026140,1
25471,2023-10-15 20:00:00,1697400000000,0.6010000000,0.4898000000,1.2151660642,-0.2405148046,-0.2254779668,0.0067190892,-2.2379279872,1
25472,2023-10-15 21:00:00,1697403600000,0.5990000000,0.4887000000,1.2152088977,-0.2392101297,-0.2256766919,0.0068520728,-1.9750866791,1
25473,2023-10-15 22:00:00,1697407200000,0.5970000000,0.4875000000,1.2151501532,-0.2379446415,-0.2257985209,0.0069697512,-1.7426907088,1
25474,2023-10-15 23:00:00,1697410800000,0.5980000000,0.4874000000,1.2151095107,-0.2392354874,-0.2259316478,0.0071083092,-1.8715898972,1
25475,2023-10-16 00:00:00,1697414400000,0.5990000000,0.4864000000,1.2151293168,-0.2414624608,-0.2261015093,0.0072903638,-2.1070212494,1
25476,2023-10-16 01:00:00,1697418000000,0.6020000000,0.4880000000,1.2151708850,-0.2435328728,-0.2262890556,0.0075134904,-2.2950474935,1
25477,2023-10-16 02:00:00,1697421600000,0.6010000000,0.4868000000,1.2152302854,-0.2435534016,-0.2264877511,0.0077250661,-2.2091267748,1
25478,2023-10-16 03:00:00,1697425200000,0.6020000000,0.4878000000,1.2152986331,-0.2438097771,-0.2266908792,0.0079316906,-2.1582911869,1
25479,2023-10-16 04:00:00,1697428800000,0.6010000000,0.4863000000,1.2152610486,-0.2440718902,-0.2268456554,0.0081301177,-2.1188174026,1
25480,2023-10-16 05:00:00,1697432400000,0.6080000000,0.4937000000,1.2154258727,-0.2452789306,-0.2271503595,0.0082901275,-2.1867662626,1
25481,2023-10-16 06:00:00,1697436000000,0.6070000000,0.4920000000,1.2155658641,-0.2458484795,-0.2274226153,0.0084882405,-2.1707518840,1
25482,2023-10-16 07:00:00,1697439600000,0.6050000000,0.4933000000,1.2155903022,-0.2421321328,-0.2276257925,0.0086146312,-1.6839189078,1
25483,2023-10-16 08:00:00,1697443200000,0.6050000000,0.4913000000,1.2156754783,-0.2441836644,-0.2278552793,0.0087717397,-1.8614762414,1
25484,2023-10-16 09:00:00,1697446800000,0.6050000000,0.4935000000,1.2156871033,-0.2419906975,-0.2280529042,0.0088836788,-1.5689213369,1
25485,2023-10-16 10:00:00,1697450400000,0.6040000000,0.4939000000,1.2156596354,-0.2403584198,-0.2282278536,0.0089663255,-1.3529027363,1
25486,2023-10-16 11:00:00,1697454000000,0.6030000000,0.4942000000,1.2155993151,-0.2388063870,-0.2283863800,0.0090234678,-1.1547674578,1
25487,2023-10-16 12:00:00,1697457600000,0.6060000000,0.4942000000,1.2157949316,-0.2425717285,-0.2286765484,0.0090459538,-1.5360657841,1
25488,2023-10-16 13:00:00,1697461200000,0.6010000000,0.4964000000,1.2157706391,-0.2342781541,-0.2288443677,0.0090045591,-0.6034483517,1
25489,2023-10-16 14:00:00,1697464800000,0.6010000000,0.4975000000,1.2157324245,-0.2331551871,-0.2290091674,0.0089423154,-0.4636405109,1
25490,2023-10-16 15:00:00,1697468400000,0.5970000000,0.4921000000,1.2157068011,-0.2336769603,-0.2291548116,0.0089075926,-0.5076735026,1
25491,2023-10-16 16:00:00,1697472000000,0.5980000000,0.4910000000,1.2157387779,-0.2360117892,-0.2293214980,0.0088906644,-0.7525074397,1
25492,2023-10-16 17:00:00,1697475600000,0.6010000000,0.4937000000,1.2158163625,-0.2370056338,-0.2295214233,0.0088539321,-0.8452979330,1
25493,2023-10-16 18:00:00,1697479200000,0.6030000000,0.4969000000,1.2158834604,-0.2362777266,-0.2297240340,0.0087920586,-0.7454104848,1
25494,2023-10-16 19:00:00,1697482800000,0.6040000000,0.4964000000,1.2159880224,-0.2380567655,-0.2299521993,0.0087321150,-0.9281332511,1
25495,2023-10-16 20:00:00,1697486400000,0.6030000000,0.4959000000,1.2160830983,-0.2373981083,-0.2301665037,0.0086693827,-0.8341545038,1
25496,2023-10-16 21:00:00,1697490000000,0.6050000000,0.4970000000,1.2162593228,-0.2388368903,-0.2304294929,0.0085595486,-0.9822243825,1
25497,2023-10-16 22:00:00,1697493600000,0.6090000000,0.4989000000,1.2164268638,-0.2419039601,-0.2306964759,0.0085298475,-1.3139137752,1
25498,2023-10-16 23:00:00,1697497200000,0.6080000000,0.4978000000,1.2166467702,-0.2419212363,-0.2309963137,0.0084327132,-1.2955406272,1
25499,2023-10-17 00:00:00,1697500800000,0.6030000000,0.4940000000,1.2167507359,-0.2397006937,-0.2312148426,0.0083944486,-1.0108884528,1
25500,2023-10-17 01:00:00,1697504400000,0.6040000000,0.4948000000,1.2168938644,-0.2402038941,-0.2314609891,0.0083212999,-1.0506657806,1
25501,2023-10-17 02:00:00,1697508000000,0.6060000000,0.4951000000,1.2170008969,-0.2424025435,-0.2316958488,0.0083218870,-1.2865705517,1
25502,2023-10-17 03:00:00,1697511600000,0.6040000000,0.4928000000,1.2171700397,-0.2423707040,-0.2319387172,0.0083036172,-1.2563183519,1
25503,2023-10-17 04:00:00,1697515200000,0.6040000000,0.4908000000,1.2174102312,-0.2445157796,-0.2322188608,0.0082882675,-1.4836537038,1
25504,2023-10-17 05:00:00,1697518800000,0.6030000000,0.4915000000,1.2175600829,-0.2426887300,-0.2324539016,0.0082750825,-1.2368249438,1
25505,2023-10-17 06:00:00,1697522400000,0.6020000000,0.4896000000,1.2177275182,-0.2434719660,-0.2326869742,0.0082802117,-1.3025019302,1
25506,2023-10-17 07:00:00,1697526000000,0.6050000000,0.4915000000,1.2178541058,-0.2453017340,-0.2329106376,0.0083404650,-1.4856601302,1
25507,2023-10-17 08:00:00,1697529600000,0.6060000000,0.4921000000,1.2180445358,-0.2460349887,-0.2331550956,0.0083923686,-1.5347149024,1
25508,2023-10-17 09:00:00,1697533200000,0.6060000000,0.4904000000,1.2183133851,-0.2478979113,-0.2334356256,0.0084495619,-1.7116018538,1
25509,2023-10-17 10:00:00,1697536800000,0.6050000000,0.4900000000,1.2185636841,-0.2472310289,-0.2337169679,0.0084735288,-1.5948563234,1
25510,2023-10-17 11:00:00,1697540400000,0.6060000000,0.4925000000,1.2188098980,-0.2460987982,-0.2340093409,0.0084310909,-1.4339137557,1
25511,2023-10-17 12:00:00,1697544000000,0.6000000000,0.4901000000,1.2189809829,-0.2412885898,-0.2342404195,0.0083345005,-0.8456619840,1
25512,2023-10-17 13:00:00,1697547600000,0.5950000000,0.4892000000,1.2191007270,-0.2361649326,-0.2344363077,0.0081620056,-0.2117892340,1
