time,xrp_close,theta_close
2020-10-26 15:30:00,0.2467,0.6585
2020-10-26 16:30:00,0.2478,0.6579
2020-10-26 17:30:00,0.2479,0.6608
2020-10-26 18:30:00,0.2482,0.6571
2020-10-26 19:30:00,0.2484,0.6578
2020-10-26 20:30:00,0.2481,0.6529
2020-10-26 21:30:00,0.2495,0.6657
2020-10-26 22:30:00,0.2489,0.6653
2020-10-26 23:30:00,0.2483,0.6577
2020-10-27 0:30:00,0.2489,0.6591
2020-10-27 1:30:00,0.2497,0.6621
2020-10-27 2:30:00,0.2492,0.6546
2020-10-27 3:30:00,0.2512,0.6532
2020-10-27 4:30:00,0.2507,0.6511
2020-10-27 5:30:00,0.2491,0.6451
2020-10-27 6:30:00,0.2506,0.6367
2020-10-27 7:30:00,0.2518,0.6447
2020-10-27 8:30:00,0.2521,0.652
2020-10-27 9:30:00,0.2526,0.655
2020-10-27 10:30:00,0.2519,0.6549
2020-10-27 11:30:00,0.2519,0.6459
2020-10-27 12:30:00,0.2529,0.6439
2020-10-27 13:30:00,0.2539,0.6504
2020-10-27 14:30:00,0.2527,0.6517
2020-10-27 15:30:00,0.2513,0.6552
2020-10-27 16:30:00,0.2514,0.6514
2020-10-27 17:30:00,0.2504,0.6474
2020-10-27 18:30:00,0.2508,0.6442
2020-10-27 19:30:00,0.251,0.6462
2020-10-27 20:30:00,0.2526,0.659
2020-10-27 21:30:00,0.2524,0.6569
2020-10-27 22:30:00,0.2529,0.6535
2020-10-27 23:30:00,0.2529,0.6518
2020-10-28 0:30:00,0.2533,0.6495
2020-10-28 1:30:00,0.2525,0.6511
2020-10-28 2:30:00,0.252,0.6479
2020-10-28 3:30:00,0.251,0.6363
2020-10-28 4:30:00,0.2498,0.6312
2020-10-28 5:30:00,0.2501,0.6334
2020-10-28 6:30:00,0.2483,0.6272
2020-10-28 7:30:00,0.2503,0.6288
2020-10-28 8:30:00,0.2478,0.6184
2020-10-28 9:30:00,0.2487,0.6308
2020-10-28 10:30:00,0.2472,0.6212
2020-10-28 11:30:00,0.2452,0.6177
2020-10-28 12:30:00,0.2467,0.6161
2020-10-28 13:30:00,0.2459,0.609
2020-10-28 14:30:00,0.2458,0.6171
2020-10-28 15:30:00,0.2461,0.6174
2020-10-28 16:30:00,0.2448,0.6154
2020-10-28 17:30:00,0.2452,0.6146
2020-10-28 18:30:00,0.2459,0.6172
2020-10-28 19:30:00,0.2463,0.6206
2020-10-28 20:30:00,0.2454,0.6218
2020-10-28 21:30:00,0.2448,0.6251
2020-10-28 22:30:00,0.2462,0.6308
2020-10-28 23:30:00,0.2453,0.6252
2020-10-29 0:30:00,0.2468,0.6299
2020-10-29 1:30:00,0.2453,0.6205
2020-10-29 2:30:00,0.2464,0.6221
2020-10-29 3:30:00,0.246,0.6192
2020-10-29 4:30:00,0.2446,0.6124
2020-10-29 5:30:00,0.2428,0.6125
2020-10-29 6:30:00,0.2433,0.6155
2020-10-29 7:30:00,0.2429,0.5945
2020-10-29 8:30:00,0.242,0.5918
2020-10-29 9:30:00,0.2423,0.6024
2020-10-29 10:30:00,0.2435,0.6066
2020-10-29 11:30:00,0.2451,0.6095
2020-10-29 12:30:00,0.2448,0.6125
2020-10-29 13:30:00,0.2469,0.6202
2020-10-29 14:30:00,0.2451,0.6083
2020-10-29 15:30:00,0.2453,0.6061
2020-10-29 16:30:00,0.2438,0.5951
2020-10-29 17:30:00,0.2444,0.5982
2020-10-29 18:30:00,0.2443,0.6024
2020-10-29 19:30:00,0.2412,0.5812
2020-10-29 20:30:00,0.2424,0.5921
2020-10-29 21:30:00,0.2437,0.6099
2020-10-29 22:30:00,0.2424,0.6202
2020-10-29 23:30:00,0.2405,0.6033
2020-10-30 0:30:00,0.2396,0.5835
2020-10-30 1:30:00,0.2398,0.5843
2020-10-30 2:30:00,0.2356,0.5818
2020-10-30 3:30:00,0.2367,0.59
2020-10-30 4:30:00,0.2369,0.5944
2020-10-30 5:30:00,0.2361,0.5857
2020-10-30 6:30:00,0.2345,0.5864
2020-10-30 7:30:00,0.2352,0.5937
2020-10-30 8:30:00,0.2368,0.5976
2020-10-30 9:30:00,0.2368,0.6235
2020-10-30 10:30:00,0.2358,0.6106
2020-10-30 11:30:00,0.2358,0.6045
2020-10-30 12:30:00,0.238,0.5985
2020-10-30 13:30:00,0.2375,0.6006
2020-10-30 14:30:00,0.2379,0.6103
2020-10-30 15:30:00,0.2378,0.6098
2020-10-30 16:30:00,0.2382,0.6145
2020-10-30 17:30:00,0.2382,0.6122
2020-10-30 18:30:00,0.2382,0.617
2020-10-30 19:30:00,0.2388,0.6133
2020-10-30 20:30:00,0.2388,0.6091
2020-10-30 21:30:00,0.2396,0.6069
2020-10-30 22:30:00,0.2396,0.6114
2020-10-30 23:30:00,0.2384,0.6037
2020-10-31 0:30:00,0.2385,0.6037
2020-10-31 1:30:00,0.2389,0.5999
2020-10-31 2:30:00,0.2378,0.5967
2020-10-31 3:30:00,0.2386,0.6032
2020-10-31 4:30:00,0.2386,0.5995
2020-10-31 5:30:00,0.2411,0.6135
2020-10-31 6:30:00,0.2419,0.6102
2020-10-31 7:30:00,0.2416,0.6092
2020-10-31 8:30:00,0.2427,0.5996
2020-10-31 9:30:00,0.2422,0.6096
2020-10-31 10:30:00,0.2424,0.6114
2020-10-31 11:30:00,0.2413,0.6036
2020-10-31 12:30:00,0.2409,0.6103
2020-10-31 13:30:00,0.2405,0.6098
2020-10-31 14:30:00,0.24,0.6038
2020-10-31 15:30:00,0.2391,0.6028
2020-10-31 16:30:00,0.2399,0.605
2020-10-31 17:30:00,0.2403,0.606
2020-10-31 18:30:00,0.2397,0.6066
2020-10-31 19:30:00,0.2406,0.6105
2020-10-31 20:30:00,0.2396,0.6089
2020-10-31 21:30:00,0.2397,0.6134
2020-10-31 22:30:00,0.2401,0.609
2020-10-31 23:30:00,0.2389,0.6074
2020-11-01 0:30:00,0.2387,0.6094
2020-11-01 1:30:00,0.2386,0.6063
2020-11-01 1:30:00,0.2388,0.6037
2020-11-01 2:30:00,0.239,0.6021
2020-11-01 3:30:00,0.24,0.6044
2020-11-01 4:30:00,0.239,0.6043
2020-11-01 5:30:00,0.2382,0.5971
2020-11-01 6:30:00,0.2391,0.599
2020-11-01 7:30:00,0.2388,0.5867
2020-11-01 8:30:00,0.238,0.5873
2020-11-01 9:30:00,0.2381,0.588
2020-11-01 10:30:00,0.2388,0.5873
2020-11-01 11:30:00,0.2392,0.5921
2020-11-01 12:30:00,0.2392,0.5871
2020-11-01 13:30:00,0.2391,0.6091
2020-11-01 14:30:00,0.2388,0.6087
2020-11-01 15:30:00,0.2394,0.6067
2020-11-01 16:30:00,0.2398,0.6093
2020-11-01 17:30:00,0.2411,0.6145
2020-11-01 18:30:00,0.2399,0.6117
2020-11-01 19:30:00,0.2398,0.6106
2020-11-01 20:30:00,0.2427,0.616
2020-11-01 21:30:00,0.2436,0.6139
2020-11-01 22:30:00,0.2418,0.6109
2020-11-01 23:30:00,0.2403,0.6071
2020-11-02 0:30:00,0.2405,0.6088
2020-11-02 1:30:00,0.2403,0.6084
2020-11-02 2:30:00,0.2408,0.6282
2020-11-02 3:30:00,0.2414,0.6243
2020-11-02 4:30:00,0.2359,0.6069
2020-11-02 5:30:00,0.2374,0.6092
2020-11-02 6:30:00,0.2358,0.5997
2020-11-02 7:30:00,0.2361,0.5997
2020-11-02 8:30:00,0.2345,0.603
2020-11-02 9:30:00,0.2351,0.6091
2020-11-02 10:30:00,0.2355,0.6119
2020-11-02 11:30:00,0.235,0.5964
2020-11-02 12:30:00,0.2352,0.5922
2020-11-02 13:30:00,0.2351,0.5917
2020-11-02 14:30:00,0.2342,0.5911
2020-11-02 15:30:00,0.2357,0.5933
2020-11-02 16:30:00,0.2359,0.5959
2020-11-02 17:30:00,0.235,0.5925
2020-11-02 18:30:00,0.2346,0.5884
2020-11-02 19:30:00,0.2353,0.5876
2020-11-02 20:30:00,0.2352,0.5989
2020-11-02 21:30:00,0.2361,0.5969
2020-11-02 22:30:00,0.2328,0.5834
2020-11-02 23:30:00,0.2296,0.5862
2020-11-03 0:30:00,0.2298,0.5685
2020-11-03 1:30:00,0.2304,0.5716
2020-11-03 2:30:00,0.2312,0.5761
2020-11-03 3:30:00,0.2311,0.5811
2020-11-03 4:30:00,0.232,0.58
2020-11-03 5:30:00,0.2323,0.5833
2020-11-03 6:30:00,0.2421,0.5812
2020-11-03 7:30:00,0.2394,0.5772
2020-11-03 8:30:00,0.237,0.5717
2020-11-03 9:30:00,0.2389,0.5765
2020-11-03 10:30:00,0.2404,0.5774
2020-11-03 11:30:00,0.2377,0.5697
2020-11-03 12:30:00,0.2362,0.5677
2020-11-03 13:30:00,0.237,0.5656
2020-11-03 14:30:00,0.2374,0.5681
2020-11-03 15:30:00,0.2379,0.5771
2020-11-03 16:30:00,0.238,0.579
2020-11-03 17:30:00,0.2379,0.5789
2020-11-03 18:30:00,0.2388,0.581
2020-11-03 19:30:00,0.2394,0.5823
2020-11-03 20:30:00,0.2373,0.5751
2020-11-03 21:30:00,0.2383,0.5745
2020-11-03 22:30:00,0.2371,0.571
2020-11-03 23:30:00,0.2383,0.5777
2020-11-04 0:30:00,0.2383,0.5786
2020-11-04 1:30:00,0.2375,0.5771
2020-11-04 2:30:00,0.2373,0.5799
2020-11-04 3:30:00,0.2337,0.5713
2020-11-04 4:30:00,0.236,0.5726
2020-11-04 5:30:00,0.2359,0.5729
2020-11-04 6:30:00,0.2357,0.5685
2020-11-04 7:30:00,0.2347,0.5709
2020-11-04 8:30:00,0.2353,0.5739
2020-11-04 9:30:00,0.2347,0.5661
2020-11-04 10:30:00,0.2337,0.5532
2020-11-04 11:30:00,0.234,0.5554
2020-11-04 12:30:00,0.2352,0.5727
2020-11-04 13:30:00,0.2364,0.5757
2020-11-04 14:30:00,0.2378,0.5841
2020-11-04 15:30:00,0.2378,0.59
2020-11-04 16:30:00,0.2371,0.5842
2020-11-04 17:30:00,0.237,0.5829
2020-11-04 18:30:00,0.2383,0.5881
2020-11-04 19:30:00,0.2373,0.59
2020-11-04 20:30:00,0.238,0.5867
2020-11-04 21:30:00,0.2387,0.5878
2020-11-04 22:30:00,0.2394,0.5892
2020-11-04 23:30:00,0.239,0.5902
2020-11-05 0:30:00,0.2396,0.5875
2020-11-05 1:30:00,0.2396,0.5915
2020-11-05 2:30:00,0.239,0.5867
2020-11-05 3:30:00,0.2394,0.5871
2020-11-05 4:30:00,0.2384,0.5814
2020-11-05 5:30:00,0.2375,0.5802
2020-11-05 6:30:00,0.2389,0.5837
2020-11-05 7:30:00,0.2388,0.5841
2020-11-05 8:30:00,0.2383,0.5787
2020-11-05 9:30:00,0.2414,0.5838
2020-11-05 10:30:00,0.2456,0.6113
2020-11-05 11:30:00,0.2454,0.6156
2020-11-05 12:30:00,0.2454,0.6262
2020-11-05 13:30:00,0.2444,0.6192
2020-11-05 14:30:00,0.2445,0.6244
2020-11-05 15:30:00,0.2447,0.6236
2020-11-05 16:30:00,0.2454,0.6235
2020-11-05 17:30:00,0.2444,0.6228
2020-11-05 18:30:00,0.2463,0.6247
2020-11-05 19:30:00,0.2456,0.6286
2020-11-05 20:30:00,0.2493,0.6371
2020-11-05 21:30:00,0.2513,0.6468
2020-11-05 22:30:00,0.2501,0.6423
2020-11-05 23:30:00,0.2488,0.6412
2020-11-06 0:30:00,0.2493,0.6512
2020-11-06 1:30:00,0.2505,0.6507
2020-11-06 2:30:00,0.2525,0.647
2020-11-06 3:30:00,0.2549,0.6574
2020-11-06 4:30:00,0.2518,0.6518
2020-11-06 5:30:00,0.2527,0.6564
2020-11-06 6:30:00,0.2594,0.6774
2020-11-06 7:30:00,0.2595,0.6723
2020-11-06 8:30:00,0.2579,0.6686
2020-11-06 9:30:00,0.2613,0.6772
2020-11-06 10:30:00,0.2577,0.6584
2020-11-06 11:30:00,0.2565,0.6549
2020-11-06 12:30:00,0.2587,0.6614
2020-11-06 13:30:00,0.2577,0.663
2020-11-06 14:30:00,0.2582,0.6733
2020-11-06 15:30:00,0.2576,0.6788
2020-11-06 16:30:00,0.2541,0.6772
2020-11-06 17:30:00,0.2552,0.6806
2020-11-06 18:30:00,0.2591,0.6807
2020-11-06 19:30:00,0.2588,0.6771
2020-11-06 20:30:00,0.2626,0.6928
2020-11-06 21:30:00,0.2667,0.6947
2020-11-06 22:30:00,0.2655,0.6928
2020-11-06 23:30:00,0.2647,0.6909
2020-11-07 0:30:00,0.2637,0.6891
2020-11-07 1:30:00,0.2639,0.6986
2020-11-07 2:30:00,0.2643,0.6949
2020-11-07 3:30:00,0.2625,0.6869
