,MATICUSDT,XTZUSDT,date,calculated_spread,rolling_mean_spread,rolling_std_spread,z_score,trading_signal,symbol_one_position,symbol_two_position,portfolio_value,returns
0,0.7818,0.815,2023-11-23 08:00:00,0.10951852603015377,,,,0,0,0,10000,
1,0.7843,0.815,2023-11-23 09:00:00,0.10726257350402868,,,,0,0,0,10000,0.0
2,0.7768,0.807,2023-11-23 10:00:00,0.10603043108240406,,,,0,0,0,10000,0.0
3,0.774,0.804,2023-11-23 11:00:00,0.10555709791166423,,,,0,0,0,10000,0.0
4,0.7718,0.803,2023-11-23 12:00:00,0.10654233613465436,,,,0,0,0,10000,0.0
5,0.7706,0.804,2023-11-23 13:00:00,0.10862519334719445,,,,0,0,0,10000,0.0
6,0.7706,0.802,2023-11-23 14:00:00,0.10662519334719445,,,,0,0,0,10000,0.0
7,0.7659,0.802,2023-11-23 15:00:00,0.11086638409630956,,,,0,0,0,10000,0.0
8,0.7732,0.806,2023-11-23 16:00:00,0.10827900272002433,,,,0,0,0,10000,0.0
9,0.7763,0.809,2023-11-23 17:00:00,0.1084816215876292,,,,0,0,0,10000,0.0
10,0.7758,0.809,2023-11-23 18:00:00,0.1089328120928541,,,,0,0,0,10000,0.0
11,0.7737,0.807,2023-11-23 19:00:00,0.1088278122147992,,,,0,0,0,10000,0.0
12,0.7747,0.81,2023-11-23 20:00:00,0.11092543120434917,,,,0,0,0,10000,0.0
13,0.7761,0.811,2023-11-23 21:00:00,0.11066209778971914,,,,0,0,0,10000,0.0
14,0.7777,0.813,2023-11-23 22:00:00,0.11121828817299906,,,,0,0,0,10000,0.0
15,0.7721,0.813,2023-11-23 23:00:00,0.11627162183151918,,,,0,0,0,10000,0.0
16,0.7748,0.817,2023-11-24 00:00:00,0.11783519310330404,,,,0,0,0,10000,0.0
17,0.7761,0.816,2023-11-24 01:00:00,0.11566209778971903,,,,0,0,0,10000,0.0
18,0.7785,0.818,2023-11-24 02:00:00,0.11549638336463897,,,,0,0,0,10000,0.0
19,0.7734,0.815,2023-11-24 03:00:00,0.11709852651793418,,,,0,0,0,10000,0.0
20,0.7755,0.814,2023-11-24 04:00:00,0.11420352639598907,,,,0,0,0,10000,0.0
21,0.7769,0.814,2023-11-24 05:00:00,0.11294019298135893,,,,0,0,0,10000,0.0
22,0.7783,0.813,2023-11-24 06:00:00,0.1106768595667289,,,,0,0,0,10000,0.0
23,0.7764,0.812,2023-11-24 07:00:00,0.11139138348658417,,,,0,0,0,10000,0.0
