,ATOMUSDT,AXSUSDT,date,rolling_hedge_ratio,calculated_spread,rolling_mean_spread,rolling_std_spread,z_score,trading_signal,symbol_one_position,symbol_two_position,portfolio_value,returns
0,8.921,6.04,2023-08-02 11:00:00,,,,,,0,0.0,0.0,10000.0,
1,8.91,6.01,2023-08-02 12:00:00,,,,,,0,0.0,0.0,10000.0,0.0
2,8.954,5.98,2023-08-02 13:00:00,,,,,,0,0.0,0.0,10000.0,0.0
3,8.845,5.93,2023-08-02 14:00:00,,,,,,0,0.0,0.0,10000.0,0.0
4,8.836,5.95,2023-08-02 15:00:00,,,,,,0,0.0,0.0,10000.0,0.0
5,8.747,5.9,2023-08-02 16:00:00,,,,,,0,0.0,0.0,10000.0,0.0
6,8.766,5.9,2023-08-02 17:00:00,,,,,,0,0.0,0.0,10000.0,0.0
7,8.738,5.92,2023-08-02 18:00:00,,,,,,0,0.0,0.0,10000.0,0.0
8,8.775,5.95,2023-08-02 19:00:00,,,,,,0,0.0,0.0,10000.0,0.0
9,8.764,5.94,2023-08-02 20:00:00,,,,,,0,0.0,0.0,10000.0,0.0
10,8.787,5.95,2023-08-02 21:00:00,,,,,,0,0.0,0.0,10000.0,0.0
11,8.757,5.92,2023-08-02 22:00:00,,,,,,0,0.0,0.0,10000.0,0.0
12,8.717,5.92,2023-08-02 23:00:00,,,,,,0,0.0,0.0,10000.0,0.0
13,8.689,5.9,2023-08-03 00:00:00,,,,,,0,0.0,0.0,10000.0,0.0
14,8.743,5.93,2023-08-03 01:00:00,,,,,,0,0.0,0.0,10000.0,0.0
15,8.718,5.92,2023-08-03 02:00:00,,,,,,0,0.0,0.0,10000.0,0.0
16,8.716,5.9,2023-08-03 03:00:00,,,,,,0,0.0,0.0,10000.0,0.0
17,8.713,5.9,2023-08-03 04:00:00,,,,,,0,0.0,0.0,10000.0,0.0
18,8.725,5.93,2023-08-03 05:00:00,,,,,,0,0.0,0.0,10000.0,0.0
19,8.676,5.87,2023-08-03 06:00:00,,,,,,0,0.0,0.0,10000.0,0.0
20,8.664,5.84,2023-08-03 07:00:00,,,,,,0,0.0,0.0,10000.0,0.0
21,8.635,5.88,2023-08-03 08:00:00,,,,,,0,0.0,0.0,10000.0,0.0
22,8.673,5.88,2023-08-03 09:00:00,,,,,,0,0.0,0.0,10000.0,0.0
23,8.692,5.88,2023-08-03 10:00:00,,,,,,0,0.0,0.0,10000.0,0.0
24,8.705,5.9,2023-08-03 11:00:00,,,,,,0,0.0,0.0,10000.0,0.0
25,8.691,5.87,2023-08-03 12:00:00,,,,,,0,0.0,0.0,10000.0,0.0
26,8.714,5.87,2023-08-03 13:00:00,,,,,,0,0.0,0.0,10000.0,0.0
27,8.772,5.89,2023-08-03 14:00:00,,,,,,0,0.0,0.0,10000.0,0.0
28,8.71,5.86,2023-08-03 15:00:00,,,,,,0,0.0,0.0,10000.0,0.0
29,8.714,5.88,2023-08-03 16:00:00,,,,,,0,0.0,0.0,10000.0,0.0
30,8.703,5.83,2023-08-03 17:00:00,,,,,,0,0.0,0.0,10000.0,0.0
31,8.704,5.83,2023-08-03 18:00:00,,,,,,0,0.0,0.0,10000.0,0.0
32,8.728,5.82,2023-08-03 19:00:00,,,,,,0,0.0,0.0,10000.0,0.0
33,8.722,5.83,2023-08-03 20:00:00,,,,,,0,0.0,0.0,10000.0,0.0
34,8.674,5.81,2023-08-03 21:00:00,,,,,,0,0.0,0.0,10000.0,0.0
35,8.653,5.8,2023-08-03 22:00:00,,,,,,0,0.0,0.0,10000.0,0.0
36,8.616,5.79,2023-08-03 23:00:00,,,,,,0,0.0,0.0,10000.0,0.0
37,8.645,5.81,2023-08-04 00:00:00,,,,,,0,0.0,0.0,10000.0,0.0
38,8.62,5.79,2023-08-04 01:00:00,,,,,,0,0.0,0.0,10000.0,0.0
39,8.635,5.8,2023-08-04 02:00:00,,,,,,0,0.0,0.0,10000.0,0.0
40,8.629,5.79,2023-08-04 03:00:00,,,,,,0,0.0,0.0,10000.0,0.0
41,8.624,5.79,2023-08-04 04:00:00,,,,,,0,0.0,0.0,10000.0,0.0
42,8.626,5.77,2023-08-04 05:00:00,,,,,,0,0.0,0.0,10000.0,0.0
43,8.605,5.74,2023-08-04 06:00:00,,,,,,0,0.0,0.0,10000.0,0.0
44,8.61,5.76,2023-08-04 07:00:00,,,,,,0,0.0,0.0,10000.0,0.0
45,8.609,5.74,2023-08-04 08:00:00,,,,,,0,0.0,0.0,10000.0,0.0
46,8.641,5.76,2023-08-04 09:00:00,,,,,,0,0.0,0.0,10000.0,0.0
47,8.587,5.75,2023-08-04 10:00:00,,,,,,0,0.0,0.0,10000.0,0.0
48,8.585,5.75,2023-08-04 11:00:00,,,,,,0,0.0,0.0,10000.0,0.0
49,8.619,5.75,2023-08-04 12:00:00,,,,,,0,0.0,0.0,10000.0,0.0
50,8.637,5.77,2023-08-04 13:00:00,,,,,,0,0.0,0.0,10000.0,0.0
51,8.651,5.8,2023-08-04 14:00:00,,,,,,0,0.0,0.0,10000.0,0.0
52,8.64,5.78,2023-08-04 15:00:00,,,,,,0,0.0,0.0,10000.0,0.0
53,8.663,5.81,2023-08-04 16:00:00,,,,,,0,0.0,0.0,10000.0,0.0
54,8.615,5.79,2023-08-04 17:00:00,,,,,,0,0.0,0.0,10000.0,0.0
55,8.498,5.73,2023-08-04 18:00:00,,,,,,0,0.0,0.0,10000.0,0.0
56,8.518,5.72,2023-08-04 19:00:00,,,,,,0,0.0,0.0,10000.0,0.0
57,8.421,5.68,2023-08-04 20:00:00,,,,,,0,0.0,0.0,10000.0,0.0
58,8.452,5.7,2023-08-04 21:00:00,,,,,,0,0.0,0.0,10000.0,0.0
59,8.474,5.72,2023-08-04 22:00:00,,,,,,0,0.0,0.0,10000.0,0.0
60,8.479,5.73,2023-08-04 23:00:00,,,,,,0,0.0,0.0,10000.0,0.0
61,8.461,5.74,2023-08-05 00:00:00,,,,,,0,0.0,0.0,10000.0,0.0
62,8.417,5.66,2023-08-05 01:00:00,,,,,,0,0.0,0.0,10000.0,0.0
63,8.428,5.7,2023-08-05 02:00:00,,,,,,0,0.0,0.0,10000.0,0.0
64,8.434,5.72,2023-08-05 03:00:00,,,,,,0,0.0,0.0,10000.0,0.0
65,8.39,5.68,2023-08-05 04:00:00,,,,,,0,0.0,0.0,10000.0,0.0
66,8.428,5.71,2023-08-05 05:00:00,,,,,,0,0.0,0.0,10000.0,0.0
67,8.384,5.69,2023-08-05 06:00:00,,,,,,0,0.0,0.0,10000.0,0.0
68,8.395,5.69,2023-08-05 07:00:00,,,,,,0,0.0,0.0,10000.0,0.0
69,8.425,5.71,2023-08-05 08:00:00,,,,,,0,0.0,0.0,10000.0,0.0
70,8.424,5.71,2023-08-05 09:00:00,,,,,,0,0.0,0.0,10000.0,0.0
71,8.426,5.73,2023-08-05 10:00:00,,,,,,0,0.0,0.0,10000.0,0.0
72,8.409,5.72,2023-08-05 11:00:00,,,,,,0,0.0,0.0,10000.0,0.0
73,8.407,5.74,2023-08-05 12:00:00,,,,,,0,0.0,0.0,10000.0,0.0
74,8.396,5.75,2023-08-05 13:00:00,,,,,,0,0.0,0.0,10000.0,0.0
75,8.45,5.81,2023-08-05 14:00:00,,,,,,0,0.0,0.0,10000.0,0.0
76,8.45,5.83,2023-08-05 15:00:00,,,,,,0,0.0,0.0,10000.0,0.0
77,8.446,5.81,2023-08-05 16:00:00,,,,,,0,0.0,0.0,10000.0,0.0
78,8.488,5.82,2023-08-05 17:00:00,,,,,,0,0.0,0.0,10000.0,0.0
79,8.515,5.83,2023-08-05 18:00:00,,,,,,0,0.0,0.0,10000.0,0.0
80,8.498,5.8,2023-08-05 19:00:00,,,,,,0,0.0,0.0,10000.0,0.0
81,8.496,5.78,2023-08-05 20:00:00,,,,,,0,0.0,0.0,10000.0,0.0
82,8.509,5.79,2023-08-05 21:00:00,,,,,,0,0.0,0.0,10000.0,0.0
83,8.521,5.84,2023-08-05 22:00:00,,,,,,0,0.0,0.0,10000.0,0.0
84,8.507,5.85,2023-08-05 23:00:00,,,,,,0,0.0,0.0,10000.0,0.0
85,8.52,5.88,2023-08-06 00:00:00,,,,,,0,0.0,0.0,10000.0,0.0
86,8.493,5.83,2023-08-06 01:00:00,,,,,,0,0.0,0.0,10000.0,0.0
87,8.556,5.89,2023-08-06 02:00:00,,,,,,0,0.0,0.0,10000.0,0.0
88,8.54,5.86,2023-08-06 03:00:00,,,,,,0,0.0,0.0,10000.0,0.0
89,8.557,5.92,2023-08-06 04:00:00,,,,,,0,0.0,0.0,10000.0,0.0
90,8.569,5.87,2023-08-06 05:00:00,,,,,,0,0.0,0.0,10000.0,0.0
91,8.542,5.84,2023-08-06 06:00:00,,,,,,0,0.0,0.0,10000.0,0.0
92,8.553,5.85,2023-08-06 07:00:00,,,,,,0,0.0,0.0,10000.0,0.0
93,8.561,5.9,2023-08-06 08:00:00,,,,,,0,0.0,0.0,10000.0,0.0
94,8.538,5.88,2023-08-06 09:00:00,,,,,,0,0.0,0.0,10000.0,0.0
95,8.515,5.89,2023-08-06 10:00:00,,,,,,0,0.0,0.0,10000.0,0.0
96,8.537,5.88,2023-08-06 11:00:00,,,,,,0,0.0,0.0,10000.0,0.0
97,8.494,5.83,2023-08-06 12:00:00,,,,,,0,0.0,0.0,10000.0,0.0
98,8.482,5.8,2023-08-06 13:00:00,,,,,,0,0.0,0.0,10000.0,0.0
99,8.491,5.8,2023-08-06 14:00:00,,,,,,0,0.0,0.0,10000.0,0.0
100,8.472,5.79,2023-08-06 15:00:00,,,,,,0,0.0,0.0,10000.0,0.0
101,8.514,5.84,2023-08-06 16:00:00,,,,,,0,0.0,0.0,10000.0,0.0
102,8.497,5.81,2023-08-06 17:00:00,,,,,,0,0.0,0.0,10000.0,0.0
103,8.485,5.81,2023-08-06 18:00:00,,,,,,0,0.0,0.0,10000.0,0.0
104,8.48,5.8,2023-08-06 19:00:00,,,,,,0,0.0,0.0,10000.0,0.0
