,time,timestamp,THETAUSDT,XRPUSDT,hedge_ratio,calculated_spread,rolling_mean_spread,rolling_std_spread,z_score,trading_signal
24900,2023-09-22 01:00:00,1695344400000,0.5940000000,0.5097000000,1.1809210618,-0.0079154652,-0.0137597466,0.0080753907,0.7237149931,0
24901,2023-09-22 02:00:00,1695348000000,0.5930000000,0.5095000000,1.1802068591,-0.0083153947,-0.0138961439,0.0078715449,0.7089776129,0
24902,2023-09-22 03:00:00,1695351600000,0.5950000000,0.5127000000,1.1793905791,-0.0096735499,-0.0140813778,0.0075600032,0.5830457637,0
24903,2023-09-22 04:00:00,1695355200000,0.5920000000,0.5136000000,1.1785163330,-0.0132859886,-0.0142869304,0.0072698324,0.1376842957,0
24904,2023-09-22 05:00:00,1695358800000,0.5920000000,0.5108000000,1.1776511896,-0.0095442276,-0.0144827356,0.0068824405,0.7175518532,0
24905,2023-09-22 06:00:00,1695362400000,0.5880000000,0.5083000000,1.1768328125,-0.0101841186,-0.0146449730,0.0065941731,0.6764842722,0
24906,2023-09-22 07:00:00,1695366000000,0.5900000000,0.5117000000,1.1761013259,-0.0118110484,-0.0147551268,0.0064584109,0.4558518247,0
24907,2023-09-22 08:00:00,1695369600000,0.5900000000,0.5086000000,1.1754731026,-0.0078456200,-0.0148084151,0.0063796238,1.0914115415,0
24908,2023-09-22 09:00:00,1695373200000,0.5920000000,0.5095000000,1.1748877838,-0.0066053258,-0.0148377425,0.0063350054,1.2995121823,0
24909,2023-09-22 10:00:00,1695376800000,0.5920000000,0.5084000000,1.1744018848,-0.0050659182,-0.0148113513,0.0063708913,1.5296812814,0
24910,2023-09-22 11:00:00,1695380400000,0.5960000000,0.5098000000,1.1739462047,-0.0024777751,-0.0147694803,0.0064395347,1.9087878006,-1
24911,2023-09-22 12:00:00,1695384000000,0.5950000000,0.5095000000,1.1734608212,-0.0028782884,-0.0147410756,0.0064865016,1.8288420963,-1
24912,2023-09-22 13:00:00,1695387600000,0.5960000000,0.5113000000,1.1730145803,-0.0037623549,-0.0146954979,0.0065491339,1.6694028730,-1
24913,2023-09-22 14:00:00,1695391200000,0.5980000000,0.5120000000,1.1726447960,-0.0023941356,-0.0146100795,0.0066580599,1.8347602886,-1
