t,ts,y,x
2021-07-22 22:00:00,1626991200000,4.79700,0.58940
2021-07-22 23:00:00,1626994800000,4.84200,0.59200
2021-07-23 00:00:00,1626998400000,4.75000,0.59570
2021-07-23 01:00:00,1627002000000,4.77300,0.60150
2021-07-23 02:00:00,1627005600000,4.78600,0.59890
2021-07-23 03:00:00,1627009200000,4.74700,0.59700
2021-07-23 04:00:00,1627012800000,4.78900,0.60270
2021-07-23 05:00:00,1627016400000,4.77200,0.60400
2021-07-23 06:00:00,1627020000000,4.72400,0.60070
2021-07-23 07:00:00,1627023600000,4.68700,0.59910
2021-07-23 08:00:00,1627027200000,4.61800,0.58940
2021-07-23 09:00:00,1627030800000,4.61500,0.59070
2021-07-23 10:00:00,1627034400000,4.67000,0.59100
2021-07-23 11:00:00,1627038000000,4.65500,0.59020
2021-07-23 12:00:00,1627041600000,4.71800,0.59480
2021-07-23 13:00:00,1627045200000,4.75200,0.59770
2021-07-23 14:00:00,1627048800000,4.71100,0.59590
2021-07-23 15:00:00,1627052400000,4.64700,0.58580
2021-07-23 16:00:00,1627056000000,4.56100,0.57840
2021-07-23 17:00:00,1627059600000,4.55200,0.57940
2021-07-23 18:00:00,1627063200000,4.56900,0.58040
2021-07-23 19:00:00,1627066800000,4.65600,0.58400
2021-07-23 20:00:00,1627070400000,4.73700,0.58850
2021-07-23 21:00:00,1627074000000,4.74800,0.59230
2021-07-23 22:00:00,1627077600000,4.89900,0.59900
2021-07-23 23:00:00,1627081200000,5.01300,0.60910
2021-07-24 00:00:00,1627084800000,5.09600,0.60670
2021-07-24 01:00:00,1627088400000,5.10200,0.60610
2021-07-24 02:00:00,1627092000000,5.20500,0.60990
2021-07-24 03:00:00,1627095600000,5.40400,0.60840
