ID,Symbol,Crypto Name,Market Cap
1,BTC,BITCOIN,509223711776.31757
1027,ETH,ETHEREUM,200850943822.22253
825,USDT,TETHER,82838553405.49353
1839,BNB,BNB,32522515623.8473
52,XRP,XRP,27666491940.768894
3408,USDC,USD COIN,25993474837.310646
8085,stETH,LIDO STAKED ETH,13816738972.680515
2010,ADA,CARDANO,9270619815.301802
74,DOGE,DOGECOIN,8795554807.514368
5426,SOL,SOLANA,8665146765.850035
18579,WTRX,WRAPPED TRON,7603015407.910675
1958,TRX,TRON,6725365143.313224
6636,DOT,POLKADOT,5409679731.235839
4943,DAI,DAI,5345952650.776894
3890,MATIC,POLYGON,5220990389.818996
2,LTC,LITECOIN,4917868214.376804
5994,SHIB,SHIBA INU,4710368848.023339
11419,TON,TONCOIN,4664666702.689002
3717,WBTC,WRAPPED BITCOIN,4251634055.9222913
1831,BCH,BITCOIN CASH,3636251457.7438645
5805,AVAX,AVALANCHE,3576221197.146716
3957,LEO,UNUS SED LEO,3532306349.2910943
512,XLM,STELLAR,3420410233.678905
1975,LINK,CHAINLINK,3334453379.2673097
4687,BUSD,BINANCE USD,3219286826.7730694
7083,UNI,UNISWAP,2777815743.665813
2563,TUSD,TRUEUSD,2753929755.981136
328,XMR,MONERO,2735917197.15447
3794,ATOM,COSMOS,2621027729.6453023
3897,OKB,OKB,2606524703.549594
1321,ETC,ETHEREUM CLASSIC,2254499210.359235
2027,CNX,CRYPTONEX,2058917766.8448963
4642,HBAR,HEDERA,2036789641.6660447
8916,ICP,INTERNET COMPUTER,1547070858.893567
2280,FIL,FILECOIN,1516680572.060015
8000,LDO,LIDO DAO,1434510702.4310088
4023,BTCB,BITCOIN BEP2,1408022609.354786
21794,APT,APTOS,1348975036.6378195
3635,CRO,CRONOS,1312526246.8748848
3155,QNT,QUANT,1203401930.0529945
3077,VET,VECHAIN,1172025943.748186
11840,OP,OPTIMISM,1103499820.8682437
1518,MKR,MAKER,1074545782.9586437
6535,NEAR,NEAR PROTOCOL,1071262728.9745222
20396,KAS,KASPA,855622543.9929978
6719,GRT,THE GRAPH,845729146.7307957
7278,AAVE,AAVE,812055891.1347325
6952,FRAX,FRAX,805653852.9530177
2634,XDC,XDC NETWORK,772374310.9925514
4030,ALGO,ALGORAND,756480116.225473
19891,USDD,USDD,723817544.0424564
6892,EGLD,MULTIVERSX,693498080.5791782
6783,AXS,AXIE INFINITY,691333275.4183095
10603,IMX,IMMUTABLEX,677170617.4852127
6210,SAND,THE SANDBOX,673264251.9494066
5015,HEX,HEX,671707698.9779224
2011,XTZ,TEZOS,667608502.5785652
4847,STX,STACKS,663724540.0217804
1765,EOS,EOS,640677390.3610635
5524,TNC,TNC COIN,635285412.7636888
7226,INJ,INJECTIVE,627023560.5817009
2416,THETA,THETA NETWORK,622874250.3799925
3602,BSV,BITCOIN SV,598211832.1004908
4157,RUNE,THORCHAIN,594021245.8349584
11092,BGB,BITGET TOKEN,590535078.3786362
3513,FTM,FANTOM,575596827.0948502
1966,MANA,DECENTRALAND,570815760.7523596
18876,APE,APECOIN,570514563.7875084
2586,SNX,SYNTHETIX,566135533.7126777
11948,XRD,RADIX,554219732.4390715
5690,RNDR,RENDER TOKEN,518226958.61060387
3330,USDP,PAX DOLLAR,505142754.376159
1376,NEO,NEO,502329814.5876394
7192,WBNB,WRAPPED BNB,501270577.265001
4846,KAVA,KAVA,496782756.9552153
2943,RPL,ROCKET POOL,489581423.56872076
4558,FLOW,FLOW,474872771.5467784
2087,KCS,KUCOIN TOKEN,471658890.5703105
10791,XEC,ECASH,468561459.6693193
4705,PAXG,PAX GOLD,468411096.0077487
5176,XAUT,TETHER GOLD,468220446.4497469
4066,CHZ,CHILIZ,456640076.4660253
7080,GALA,GALA,447602388.1171894
6953,FXS,FRAX SHARE,446038196.9174966
4256,KLAY,KLAYTN,444636358.96298903
7950,FLR,FLARE,420927953.1552912
3718,BTTOLD,BITTORRENT,413697145.5634134
6538,CRV,CURVE DAO TOKEN,412135508.54650646
1437,ZEC,ZCASH,405894198.09527695
7334,CFX,CONFLUX,401338514.0904601
1720,MIOTA,IOTA,400417692.6646748
5899,CSPR,CASPER,399522696.33623964
16086,BTT,BITTORRENT-NEW,397048969.4013484
2502,HT,HUOBI TOKEN,390529344.4366301
8646,MINA,MINA,383392194.322919
4172,LUNC,TERRA CLASSIC,381159862.4390199
5830,NXM,NXM,376085613.0771581
4269,GT,GATETOKEN,374540928.2502797
5964,TWT,TRUST WALLET TOKEN,361578303.95898306
3306,GUSD,GEMINI DOLLAR,360377998.8081914
4195,FTT,FTX TOKEN,342809532.81642395
11857,GMX,GMX,332689597.1693882
2694,NEXO,NEXO,329833492.36569005
7431,AKT,AKASH NETWORK,327202891.54390514
5692,COMP,COMPOUND,325906790.26411015
9816,NFT,APENFT,311555633.0203053
131,DASH,DASH,302848650.25788754
11156,DYDX,DYDX,302444430.0215407
5446,USDJ,USDJ,301374246.49823177
7501,WOO,WOO NETWORK,293200716.9978444
9566,LUSD,LIQUITY USD,290297868.44050133
5632,AR,ARWEAVE,288167256.36958134
12885,ASTR,ASTAR,280578411.7363196
4041,MX,MX TOKEN,274520155.3900225
7186,CAKE,PANCAKESWAP,273602144.98132885
11865,BONE,BONE SHIBASWAP,266500995.56644696
2469,ZIL,ZILLIQA,264668854.72224227
1659,GNO,GNOSIS,263503172.86556
1697,BAT,BASIC ATTENTION TOKEN,255436540.34378725
8104,1INCH,1INCH NETWORK,251622207.68931
9258,XCH,CHIA,250528227.11133778
5665,HNT,HELIUM,249377987.0740312
1934,LRC,LOOPRING,245159344.94567162
2130,ENJ,ENJIN COIN,241053639.82580224
13855,ENS,ETHEREUM NAME SERVICE,236912176.99849683
6941,HBTC,HUOBI BTC,233987534.19803202
9903,CVX,CONVEX FINANCE,230964605.96998483
1684,QTUM,QTUM,230930456.3699143
7653,ROSE,OASIS NETWORK,230687407.30924487
11976,AZERO,ALEPH ZERO,225927212.2537639
2083,BTG,BITCOIN GOLD,225708438.1173429
8536,MASK,MASK NETWORK,224982612.31898025
873,XEM,NEM,223270064.8027125
8119,SFP,SAFEPAL,219663344.3439859
2424,AGIX,SINGULARITYNET,219557898.33217177
5567,CELO,CELO,215781417.29609784
3822,TFUEL,THETA FUEL,210702200.27156052
9466,EDGT,EDGECOIN,209991368.10466638
12220,OSMO,OSMOSIS,207928251.97359622
1168,DCR,DECRED,202817365.89010495
2577,RVN,RAVENCOIN,199830246.6894891
3783,ANKR,ANKR,198247748.55207035
3987,BDX,BELDEX,195420421.40812626
2682,HOT,HOLO,188976941.37857047
5728,BAL,BALANCER,185629042.28370297
5864,YFI,YEARN.FINANCE,185078435.10911208
3911,OCEAN,OCEAN PROTOCOL,184128867.2752095
18069,GMT,STEPN,182497850.0714637
5488,JST,JUST,181927604.24276832
5804,DFI,DEFICHAIN,178077055.24834087
1455,GLM,GOLEM,175401894.189464
3640,LPT,LIVEPEER,174754565.7928972
10804,FLOKI,FLOKI,174149723.1770871
1274,WAVES,WAVES,174145418.66023985
2299,ELF,AELF,173734078.0784345
7548,WEMIX,WEMIX,173597198.63533297
7455,AUDIO,AUDIUS,172956005.4427162
1680,ANT,ARAGON,171744503.47820488
17751,T,THRESHOLD,170523580.48644084
5034,KSM,KUSAMA,169226297.22591656
3773,FET,FETCH.AI,166357709.88497972
8425,JASMY,JASMYCOIN,165388112.9725979
10407,BabyDoge,BABY DOGE COIN,164744462.7673572
2099,ICX,ICON,164634483.824841
4512,LN,LINK,163939703.3447714
8719,ILV,ILLUVIUM,157524565.49999407
1042,SC,SIACOIN,156622329.25790998
23246,TOMI,TOMINET,156443285.01433954
20314,LUNA,TERRA,154850447.3674384
4279,SXP,SXP,152597548.46023107
2570,TOMO,TOMOCHAIN,150810953.73434898
13523,MC,MERIT CIRCLE,149546745.66771227
21296,ETHW,ETHEREUMPOW,149062223.46616748
1896,ZRX,0X,147984301.05928287
5370,HIVE,HIVE,145651753.4364233
12999,SSV,SSV.NETWORK,145137666.5567474
13663,GNS,GAINS NETWORK,143442585.52321726
9025,TRIBE,TRIBE,143290424.60359487
14101,RON,RONIN,142211320.87543952
6836,GLMR,MOONBEAM,140263594.06480074
2499,CHSB,SWISSBORG,140206157.84906265
8677,XYM,SYMBOL,139061953.62053072
2300,WAXP,WAX,137961753.89202422
2566,ONT,ONTOLOGY,137709071.5425817
4679,BAND,BAND PROTOCOL,135105142.4827191
2989,EURS,STASIS EURO,135041991.6751992
17799,AXL,AXELAR,134580740.71989104
14783,MAGIC,MAGIC,134237850.42718264
2405,IOST,IOST,134010925.06954253
6758,SUSHI,SUSHISWAP,133909179.5959821
2777,IOTX,IOTEX,133580297.24821977
3945,ONE,HARMONY,133371668.23008987
9543,BICO,BICONOMY,132562014.3944783
7129,USTC,TERRACLASSICUSD,129238297.58061288
9481,PENDLE,PENDLE,126453189.27160256
5625,LYXe,LUKSO,123844658.27120726
12387,RBN,RIBBON FINANCE,120155298.13864106
3801,BORA,BORA,118231548.15694943
23254,CORE,CORE DAO,114151041.64569329
8420,DAO,DAO MAKER,113310761.56304649
