spot_pairs,futures_usdt_pairs,futures_coin_pairs
ETHBTC,BTCUSD_PERP,BTCUSD_PERP
LTCBTC,BTCUSD_230929,BTCUSD_230929
BNBBTC,BTCUSD_231229,BTCUSD_231229
NEOBTC,ETHUSD_PERP,ETHUSD_PERP
QTUMETH,ETHUSD_230929,ETHUSD_230929
EOSETH,ETHUSD_231229,ETHUSD_231229
SNTETH,LINKUSD_PERP,LINKUSD_PERP
BNTETH,BNBUSD_PERP,BNBUSD_PERP
BCCBTC,TRXUSD_PERP,TRXUSD_PERP
GASBTC,DOTUSD_PERP,DOTUSD_PERP
BNBETH,ADAUSD_PERP,ADAUSD_PERP
BTCUSDT,EOSUSD_PERP,EOSUSD_PERP
ETHUSDT,LTCUSD_PERP,LTCUSD_PERP
HSRBTC,BCHUSD_PERP,BCHUSD_PERP
OAXETH,XRPUSD_PERP,XRPUSD_PERP
DNTETH,ETCUSD_PERP,ETCUSD_PERP
MCOETH,FILUSD_PERP,FILUSD_PERP
ICNETH,EGLDUSD_PERP,EGLDUSD_PERP
MCOBTC,DOGEUSD_PERP,DOGEUSD_PERP
WTCBTC,UNIUSD_PERP,UNIUSD_PERP
WTCETH,THETAUSD_PERP,THETAUSD_PERP
LRCBTC,XLMUSD_PERP,XLMUSD_PERP
LRCETH,SOLUSD_PERP,SOLUSD_PERP
QTUMBTC,FTMUSD_PERP,FTMUSD_PERP
YOYOBTC,SANDUSD_PERP,SANDUSD_PERP
OMGBTC,MANAUSD_PERP,MANAUSD_PERP
OMGETH,AVAXUSD_PERP,AVAXUSD_PERP
ZRXBTC,GALAUSD_PERP,GALAUSD_PERP
ZRXETH,MATICUSD_PERP,MATICUSD_PERP
STRATBTC,NEARUSD_PERP,NEARUSD_PERP
STRATETH,ATOMUSD_PERP,ATOMUSD_PERP
SNGLSBTC,AAVEUSD_PERP,AAVEUSD_PERP
SNGLSETH,AXSUSD_PERP,AXSUSD_PERP
BQXBTC,ROSEUSD_PERP,ROSEUSD_PERP
BQXETH,XTZUSD_PERP,XTZUSD_PERP
KNCBTC,ICXUSD_PERP,ICXUSD_PERP
KNCETH,ALGOUSD_PERP,ALGOUSD_PERP
FUNBTC,RUNEUSD_PERP,RUNEUSD_PERP
FUNETH,APEUSD_PERP,APEUSD_PERP
SNMBTC,VETUSD_PERP,VETUSD_PERP
